,Name,Any_info,Genus,Species,Tested_for_Alkaloids,Ref_Alks,Alkaloids,Alkaloid_mainclass,Alkaloid_class,Alkaloid_class_notes,History_Antimalarial,Ref_H_Mal,History_Fever,Ref_H_Fever,Tested_Antimalarial,Extraction_Method,Type_of_Test,Activity_Antimalarial,Authors_Activity_Label,Positive_Control_Used,Given_Activities,Ref_Activity,General_notes,MPNS_Sources,Details,Cardenolides,Cardenolides_Ref,Steroids,Steroids_Ref,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
138,Mitrasacme scrithicola,,Mitrasacme,scrithicola,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme scrithicola,Mitrasacme scrithicola,990982-1,990982-1,Species
139,Mitrasacme secedens,,Mitrasacme,secedens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme secedens,Mitrasacme secedens,990998-1,990998-1,Species
140,Mitrasacme serpyllifolia,,Mitrasacme,serpyllifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme serpyllifolia,Mitrasacme serpyllifolia,546696-1,546696-1,Species
141,Mitrasacme setosa,,Mitrasacme,setosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme setosa,Mitrasacme setosa,546697-1,546697-1,Species
142,Mitrasacme squamigera,,Mitrasacme,squamigera,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme squamigera,Mitrasacme squamigera,990980-1,990980-1,Species
143,Mitrasacme stellata,,Mitrasacme,stellata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme stellata,Mitrasacme stellata,546701-1,546701-1,Species
144,Mitrasacme subvolubilis,,Mitrasacme,subvolubilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme subvolubilis,Mitrasacme subvolubilis,546702-1,546702-1,Species
145,Mitrasacme thedae,,Mitrasacme,thedae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme thedae,Mitrasacme thedae,77153352-1,77153352-1,Species
146,Mitrasacme troglodytica,,Mitrasacme,troglodytica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitrasacme troglodytica,Mitrasacme troglodytica,990979-1,990979-1,Species
147,Mitreola macrophylla,NRIF (12 spp.),Mitreola,macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola macrophylla,Mitreola macrophylla,985690-1,985690-1,Species
148,Mitreola pedicellata,,Mitreola,pedicellata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola pedicellata,Mitreola pedicellata,546719-1,546719-1,Species
149,Mitreola petiolata,,Mitreola,petiolata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola petiolata,Mitreola petiolata,546721-1,546721-1,Species
150,Mitreola petiolatoides,,Mitreola,petiolatoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola petiolatoides,Mitreola petiolatoides,546722-1,546722-1,Species
151,Mitreola pingtaoi,,Mitreola,pingtaoi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola pingtaoi,Mitreola pingtaoi,985689-1,985689-1,Species
152,Mitreola purpureonervia,,Mitreola,purpureonervia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola purpureonervia,Mitreola purpureonervia,985692-1,985692-1,Species
153,Mitreola reticulata,,Mitreola,reticulata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola reticulata,Mitreola reticulata,546723-1,546723-1,Species
154,Mitreola sessilifolia,,Mitreola,sessilifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola sessilifolia,Mitreola sessilifolia,30219651-2,30219651-2,Species
155,Mitreola spathulifolia,,Mitreola,spathulifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola spathulifolia,Mitreola spathulifolia,985691-1,985691-1,Species
156,Mitreola sphaerocarpa,,Mitreola,sphaerocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola sphaerocarpa,Mitreola sphaerocarpa,546726-1,546726-1,Species
157,Mitreola turgida,,Mitreola,turgida,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola turgida,Mitreola turgida,546729-1,546729-1,Species
158,Mitreola yangchunensis,,Mitreola,yangchunensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Mitreola yangchunensis,Mitreola yangchunensis,77105825-1,77105825-1,Species
159,Neuburgia alata,NRIF (12 spp.),Neuburgia,alata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia alata,Neuburgia alata,546784-1,546784-1,Species
160,Neuburgia celebica,,Neuburgia,celebica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia celebica,Neuburgia celebica,546785-1,546785-1,Species
161,Neuburgia collina,,Neuburgia,collina,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia collina,Neuburgia collina,546786-1,546786-1,Species
162,Neuburgia corynocarpa,,Neuburgia,corynocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia corynocarpa,Neuburgia corynocarpa,546787-1,546787-1,Species
163,Neuburgia kochii,,Neuburgia,kochii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia kochii,Neuburgia kochii,546788-1,546788-1,Species
164,Neuburgia macrocarpa,,Neuburgia,macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia macrocarpa,Neuburgia macrocarpa,546789-1,546789-1,Species
165,Neuburgia macroloba,,Neuburgia,macroloba,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia macroloba,Neuburgia macroloba,546790-1,546790-1,Species
166,Neuburgia moluccana,,Neuburgia,moluccana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia moluccana,Neuburgia moluccana,546791-1,546791-1,Species
167,Neuburgia novocaledonica,,Neuburgia,novocaledonica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia novocaledonica,Neuburgia novocaledonica,77061619-1,77061619-1,Species
168,Neuburgia rumphiana,,Neuburgia,rumphiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia rumphiana,Neuburgia rumphiana,546793-1,546793-1,Species
169,Neuburgia tuberculata,,Neuburgia,tuberculata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia tuberculata,Neuburgia tuberculata,80480-1,80480-1,Species
170,Neuburgia tubiflora,,Neuburgia,tubiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Neuburgia tubiflora,Neuburgia tubiflora,80481-1,80481-1,Species
171,Norrisia major,NRIF (2 spp.),Norrisia,major,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Norrisia major,Norrisia major,60466948-2,60466948-2,Species
172,Norrisia malaccensis,,Norrisia,malaccensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Norrisia malaccensis,Norrisia malaccensis,546804-1,546804-1,Species
173,Orianthera biloba,NRIF (13 spp.),Orianthera,biloba,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera biloba,Orianthera biloba,77154367-1,77154367-1,Species
174,Orianthera callosa,,Orianthera,callosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera callosa,Orianthera callosa,77154368-1,77154368-1,Species
175,Orianthera campanulata,,Orianthera,campanulata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera campanulata,Orianthera campanulata,77154366-1,77154366-1,Species
176,Orianthera centralis,,Orianthera,centralis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera centralis,Orianthera centralis,77154369-1,77154369-1,Species
177,Orianthera exilis,,Orianthera,exilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera exilis,Orianthera exilis,77154370-1,77154370-1,Species
178,Orianthera flaviflora,,Orianthera,flaviflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera flaviflora,Orianthera flaviflora,77154371-1,77154371-1,Species
179,Orianthera judithiana,,Orianthera,judithiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera judithiana,Orianthera judithiana,77154372-1,77154372-1,Species
180,Orianthera nuda,,Orianthera,nuda,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera nuda,Orianthera nuda,77154373-1,77154373-1,Species
181,Orianthera pusilla,,Orianthera,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera pusilla,Orianthera pusilla,77154374-1,77154374-1,Species
182,Orianthera serpyllifolia,,Orianthera,serpyllifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera serpyllifolia,Orianthera serpyllifolia,77154375-1,77154375-1,Species
183,Orianthera spermacocea,,Orianthera,spermacocea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera spermacocea,Orianthera spermacocea,77154377-1,77154377-1,Species
184,Orianthera tortuosa,,Orianthera,tortuosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera tortuosa,Orianthera tortuosa,77154378-1,77154378-1,Species
185,Orianthera wendyae,,Orianthera,wendyae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Orianthera wendyae,Orianthera wendyae,77154379-1,77154379-1,Species
186,Phyllangium distylis,NRIF (5 spp.),Phyllangium,distylis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Phyllangium distylis,Phyllangium distylis,991005-1,991005-1,Species
187,Phyllangium divergens,,Phyllangium,divergens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Phyllangium divergens,Phyllangium divergens,991007-1,991007-1,Species
188,Phyllangium palustre,,Phyllangium,palustre,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Phyllangium palustre,Phyllangium palustre,991008-1,991008-1,Species
189,Phyllangium paradoxum,,Phyllangium,paradoxum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Phyllangium paradoxum,Phyllangium paradoxum,991004-1,991004-1,Species
190,Phyllangium sulcatum,,Phyllangium,sulcatum,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Phyllangium sulcatum,Phyllangium sulcatum,991006-1,991006-1,Species
191,Schizacme archeri,NRIF (5 spp.),Schizacme,archeri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Schizacme archeri,Schizacme archeri,991001-1,991001-1,Species
192,Schizacme ciliata,,Schizacme,ciliata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Schizacme ciliata,Schizacme ciliata,77154485-1,77154485-1,Species
193,Schizacme helmsii,,Schizacme,helmsii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Schizacme helmsii,Schizacme helmsii,77154480-1,77154480-1,Species
194,Schizacme montana,,Schizacme,montana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Schizacme montana,Schizacme montana,991002-1,991002-1,Species
195,Schizacme novae-zelandiae,,Schizacme,novae-zelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Schizacme novae-zelandiae,Schizacme novae-zelandiae,77154483-1,77154483-1,Species
196,Spigelia aceifolia,Spp. listed (1/95),Spigelia,aceifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia aceifolia,Spigelia aceifolia,242169-2,242169-2,Species
197,Spigelia aenea,,Spigelia,aenea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia aenea,Spigelia aenea,546907-1,546907-1,Species
198,Spigelia alabamensis,,Spigelia,alabamensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia alabamensis,Spigelia alabamensis,60458075-2,60458075-2,Species
199,Spigelia alborubra,,Spigelia,alborubra,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia alborubra,Spigelia alborubra,77197934-1,77197934-1,Species
200,Spigelia amambaiensis,,Spigelia,amambaiensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia amambaiensis,Spigelia amambaiensis,77062626-1,77062626-1,Species
201,Spigelia amazonica,,Spigelia,amazonica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia amazonica,Spigelia amazonica,60434593-2,60434593-2,Species
202,Spigelia amplexicaulis,,Spigelia,amplexicaulis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia amplexicaulis,Spigelia amplexicaulis,242170-2,242170-2,Species
203,Spigelia andersonii,,Spigelia,andersonii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia andersonii,Spigelia andersonii,324568-2,324568-2,Species
204,Spigelia andina,,Spigelia,andina,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia andina,Spigelia andina,330744-2,330744-2,Species
205,Spigelia anthelmia,,Spigelia,anthelmia,Yes,"KN, 36","Isolated, U [KN] Detected (quantitative analysis), L & S [36]",pyrrole,pyrrole,ryanodine,Yes,104,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia anthelmia,Spigelia anthelmia,318920-2,318920-2,Species
206,Spigelia asperifolia,,Spigelia,asperifolia,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia asperifolia,Spigelia asperifolia,546913-1,546913-1,Species
207,Spigelia ayotzinapensis,,Spigelia,ayotzinapensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia ayotzinapensis,Spigelia ayotzinapensis,77174912-1,77174912-1,Species
208,Spigelia beccabungoides,,Spigelia,beccabungoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia beccabungoides,Spigelia beccabungoides,242177-2,242177-2,Species
209,Spigelia beyrichiana,,Spigelia,beyrichiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia beyrichiana,Spigelia beyrichiana,546917-1,546917-1,Species
210,Spigelia blanchetiana,,Spigelia,blanchetiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia blanchetiana,Spigelia blanchetiana,546919-1,546919-1,Species
211,Spigelia brachystachya,,Spigelia,brachystachya,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia brachystachya,Spigelia brachystachya,546920-1,546920-1,Species
212,Spigelia caaguazuensis,,Spigelia,caaguazuensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia caaguazuensis,Spigelia caaguazuensis,242182-2,242182-2,Species
213,Spigelia carnosa,,Spigelia,carnosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia carnosa,Spigelia carnosa,242183-2,242183-2,Species
214,Spigelia cascatensis,,Spigelia,cascatensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia cascatensis,Spigelia cascatensis,242184-2,242184-2,Species
215,Spigelia catarinensis,,Spigelia,catarinensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia catarinensis,Spigelia catarinensis,242185-2,242185-2,Species
216,Spigelia chiapensis,,Spigelia,chiapensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia chiapensis,Spigelia chiapensis,319214-2,319214-2,Species
217,Spigelia chocoensis,,Spigelia,chocoensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia chocoensis,Spigelia chocoensis,77093116-1,77093116-1,Species
218,Spigelia cipoensis,,Spigelia,cipoensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia cipoensis,Spigelia cipoensis,285434-2,285434-2,Species
219,Spigelia coelostylioides,,Spigelia,coelostylioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia coelostylioides,Spigelia coelostylioides,319213-2,319213-2,Species
220,Spigelia colimensis,,Spigelia,colimensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia colimensis,Spigelia colimensis,77093114-1,77093114-1,Species
221,Spigelia cremnophila,,Spigelia,cremnophila,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia cremnophila,Spigelia cremnophila,1004882-1,1004882-1,Species
222,Spigelia faveolata,,Spigelia,faveolata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia faveolata,Spigelia faveolata,330742-2,330742-2,Species
223,Spigelia flava,,Spigelia,flava,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia flava,Spigelia flava,300211-2,300211-2,Species
224,Spigelia flemmingiana,,Spigelia,flemmingiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia flemmingiana,Spigelia flemmingiana,546932-1,546932-1,Species
225,Spigelia gentianoides,,Spigelia,gentianoides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia gentianoides,Spigelia gentianoides,30333464-2,30333464-2,Species
226,Spigelia genuflexa,,Spigelia,genuflexa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia genuflexa,Spigelia genuflexa,77114017-1,77114017-1,Species
227,Spigelia glabrata,,Spigelia,glabrata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia glabrata,Spigelia glabrata,546936-1,546936-1,Species
228,Spigelia gracilis,,Spigelia,gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia gracilis,Spigelia gracilis,546938-1,546938-1,Species
229,Spigelia guerrerensis,,Spigelia,guerrerensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia guerrerensis,Spigelia guerrerensis,77151686-1,77151686-1,Species
230,Spigelia guianensis,,Spigelia,guianensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia guianensis,Spigelia guianensis,546940-1,546940-1,Species
231,Spigelia hamellioides,,Spigelia,hamellioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia hamellioides,Spigelia hamellioides,546941-1,546941-1,Species
232,Spigelia hatschbachii,,Spigelia,hatschbachii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia hatschbachii,Spigelia hatschbachii,324566-2,324566-2,Species
233,Spigelia hedyotidea,,Spigelia,hedyotidea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia hedyotidea,Spigelia hedyotidea,546944-1,546944-1,Species
234,Spigelia heliotropioides,,Spigelia,heliotropioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia heliotropioides,Spigelia heliotropioides,242200-2,242200-2,Species
235,Spigelia herzogiana,,Spigelia,herzogiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia herzogiana,Spigelia herzogiana,242201-2,242201-2,Species
236,Spigelia hirtula,,Spigelia,hirtula,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia hirtula,Spigelia hirtula,77080992-1,77080992-1,Species
237,Spigelia humboldtiana,,Spigelia,humboldtiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia humboldtiana,Spigelia humboldtiana,546947-1,546947-1,Species
238,Spigelia hurleyi,,Spigelia,hurleyi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia hurleyi,Spigelia hurleyi,20002791-1,20002791-1,Species
239,Spigelia insignis,,Spigelia,insignis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia insignis,Spigelia insignis,324567-2,324567-2,Species
240,Spigelia kleinii,,Spigelia,kleinii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia kleinii,Spigelia kleinii,242207-2,242207-2,Species
241,Spigelia kuhlmannii,,Spigelia,kuhlmannii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia kuhlmannii,Spigelia kuhlmannii,546954-1,546954-1,Species
242,Spigelia laurina,,Spigelia,laurina,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia laurina,Spigelia laurina,546956-1,546956-1,Species
243,Spigelia leiocarpa,,Spigelia,leiocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia leiocarpa,Spigelia leiocarpa,20002813-1,20002813-1,Species
244,Spigelia linarioides,,Spigelia,linarioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia linarioides,Spigelia linarioides,546958-1,546958-1,Species
245,Spigelia loganioides,,Spigelia,loganioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia loganioides,Spigelia loganioides,546960-1,546960-1,Species
246,Spigelia longiflora,,Spigelia,longiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia longiflora,Spigelia longiflora,546961-1,546961-1,Species
247,Spigelia luciatlantica,,Spigelia,luciatlantica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia luciatlantica,Spigelia luciatlantica,20007552-1,20007552-1,Species
248,Spigelia lundiana,,Spigelia,lundiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia lundiana,Spigelia lundiana,546964-1,546964-1,Species
249,Spigelia macrophylla,,Spigelia,macrophylla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia macrophylla,Spigelia macrophylla,546965-1,546965-1,Species
250,Spigelia marilandica,,Spigelia,marilandica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia marilandica,Spigelia marilandica,546966-1,546966-1,Species
251,Spigelia martiana,,Spigelia,martiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia martiana,Spigelia martiana,546967-1,546967-1,Species
252,Spigelia megapotamica,,Spigelia,megapotamica,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia megapotamica,Spigelia megapotamica,77093118-1,77093118-1,Species
253,Spigelia mexicana,,Spigelia,mexicana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia mexicana,Spigelia mexicana,546968-1,546968-1,Species
254,Spigelia mocinoi,,Spigelia,mocinoi,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia mocinoi,Spigelia mocinoi,77174913-1,77174913-1,Species
255,Spigelia nicotianiflora,,Spigelia,nicotianiflora,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia nicotianiflora,Spigelia nicotianiflora,242218-2,242218-2,Species
256,Spigelia novogranatensis,,Spigelia,novogranatensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia novogranatensis,Spigelia novogranatensis,331049-2,331049-2,Species
257,Spigelia olfersiana,,Spigelia,olfersiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia olfersiana,Spigelia olfersiana,546974-1,546974-1,Species
258,Spigelia palmeri,,Spigelia,palmeri,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia palmeri,Spigelia palmeri,242221-2,242221-2,Species
259,Spigelia paraguariensis,,Spigelia,paraguariensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia paraguariensis,Spigelia paraguariensis,242222-2,242222-2,Species
260,Spigelia pedunculata,,Spigelia,pedunculata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia pedunculata,Spigelia pedunculata,546982-1,546982-1,Species
261,Spigelia persicarioides,,Spigelia,persicarioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia persicarioides,Spigelia persicarioides,242225-2,242225-2,Species
262,Spigelia petiolata,,Spigelia,petiolata,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia petiolata,Spigelia petiolata,20002804-1,20002804-1,Species
263,Spigelia polystachya,,Spigelia,polystachya,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia polystachya,Spigelia polystachya,546986-1,546986-1,Species
264,Spigelia pulchella,,Spigelia,pulchella,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia pulchella,Spigelia pulchella,546987-1,546987-1,Species
265,Spigelia pusilla,,Spigelia,pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia pusilla,Spigelia pusilla,546989-1,546989-1,Species
266,Spigelia pygmaea,,Spigelia,pygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia pygmaea,Spigelia pygmaea,242228-2,242228-2,Species
267,Spigelia queretarensis,,Spigelia,queretarensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia queretarensis,Spigelia queretarensis,77093115-1,77093115-1,Species
268,Spigelia ramosa,,Spigelia,ramosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia ramosa,Spigelia ramosa,242230-2,242230-2,Species
269,Spigelia reitzii,,Spigelia,reitzii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia reitzii,Spigelia reitzii,242232-2,242232-2,Species
270,Spigelia riedeliana,,Spigelia,riedeliana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia riedeliana,Spigelia riedeliana,242233-2,242233-2,Species
271,Spigelia rojasiana,,Spigelia,rojasiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia rojasiana,Spigelia rojasiana,242235-2,242235-2,Species
272,Spigelia rondoniensis,,Spigelia,rondoniensis,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia rondoniensis,Spigelia rondoniensis,77084193-1,77084193-1,Species
273,Spigelia scabrella,,Spigelia,scabrella,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia scabrella,Spigelia scabrella,547002-1,547002-1,Species
274,Spigelia schlechtendaliana,,Spigelia,schlechtendaliana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia schlechtendaliana,Spigelia schlechtendaliana,547003-1,547003-1,Species
275,Spigelia schultesii,,Spigelia,schultesii,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia schultesii,Spigelia schultesii,77106774-1,77106774-1,Species
276,Spigelia sellowiana,,Spigelia,sellowiana,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia sellowiana,Spigelia sellowiana,547007-1,547007-1,Species
277,Spigelia sordida,,Spigelia,sordida,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia sordida,Spigelia sordida,77080991-1,77080991-1,Species
278,Spigelia spartioides,,Spigelia,spartioides,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia spartioides,Spigelia spartioides,547010-1,547010-1,Species
279,Spigelia speciosa,,Spigelia,speciosa,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia speciosa,Spigelia speciosa,547011-1,547011-1,Species
280,Spigelia sphagnicola,,Spigelia,sphagnicola,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia sphagnicola,Spigelia sphagnicola,547012-1,547012-1,Species
281,Spigelia splendens,,Spigelia,splendens,,,,,,,,,,,,,,,,,,,,,,,,,,Loganiaceae,Spigelia splendens,Spigelia splendens,547015-1,547015-1,Species
