,Name,Genus,Species,Tested_for_Alkaloids,Alkaloids,Ref_Alks,Antimalarial_Use,Ref_H_Mal,History_Fever,Ref_H_Fever,Activity_Antimalarial,Ref_Activity,Family,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
166,Neuburgia moluccana,Neuburgia,moluccana,,,,,,,,,,Loganiaceae,Neuburgia moluccana,Neuburgia moluccana,546791-1,546791-1,Species,Manual
167,Neuburgia novocaledonica,Neuburgia,novocaledonica,,,,,,,,,,Loganiaceae,Neuburgia novocaledonica,Neuburgia novocaledonica,77061619-1,77061619-1,Species,Manual
168,Neuburgia rumphiana,Neuburgia,rumphiana,,,,,,,,,,Loganiaceae,Neuburgia rumphiana,Neuburgia rumphiana,546793-1,546793-1,Species,Manual
169,Neuburgia tuberculata,Neuburgia,tuberculata,,,,,,,,,,Loganiaceae,Neuburgia tuberculata,Neuburgia tuberculata,80480-1,80480-1,Species,Manual
170,Neuburgia tubiflora,Neuburgia,tubiflora,,,,,,,,,,Loganiaceae,Neuburgia tubiflora,Neuburgia tubiflora,80481-1,80481-1,Species,Manual
171,Norrisia major,Norrisia,major,,,,,,,,,,Loganiaceae,Norrisia major,Norrisia major,60466948-2,60466948-2,Species,Manual
172,Norrisia malaccensis,Norrisia,malaccensis,,,,,,,,,,Loganiaceae,Norrisia malaccensis,Norrisia malaccensis,546804-1,546804-1,Species,Manual
173,Orianthera biloba,Orianthera,biloba,,,,,,,,,,Loganiaceae,Orianthera biloba,Orianthera biloba,77154367-1,77154367-1,Species,Manual
174,Orianthera callosa,Orianthera,callosa,,,,,,,,,,Loganiaceae,Orianthera callosa,Orianthera callosa,77154368-1,77154368-1,Species,Manual
175,Orianthera campanulata,Orianthera,campanulata,,,,,,,,,,Loganiaceae,Orianthera campanulata,Orianthera campanulata,77154366-1,77154366-1,Species,Manual
176,Orianthera centralis,Orianthera,centralis,,,,,,,,,,Loganiaceae,Orianthera centralis,Orianthera centralis,77154369-1,77154369-1,Species,Manual
177,Orianthera exilis,Orianthera,exilis,,,,,,,,,,Loganiaceae,Orianthera exilis,Orianthera exilis,77154370-1,77154370-1,Species,Manual
178,Orianthera flaviflora,Orianthera,flaviflora,,,,,,,,,,Loganiaceae,Orianthera flaviflora,Orianthera flaviflora,77154371-1,77154371-1,Species,Manual
179,Orianthera judithiana,Orianthera,judithiana,,,,,,,,,,Loganiaceae,Orianthera judithiana,Orianthera judithiana,77154372-1,77154372-1,Species,Manual
180,Orianthera nuda,Orianthera,nuda,,,,,,,,,,Loganiaceae,Orianthera nuda,Orianthera nuda,77154373-1,77154373-1,Species,Manual
181,Orianthera pusilla,Orianthera,pusilla,,,,,,,,,,Loganiaceae,Orianthera pusilla,Orianthera pusilla,77154374-1,77154374-1,Species,Manual
182,Orianthera serpyllifolia,Orianthera,serpyllifolia,,,,,,,,,,Loganiaceae,Orianthera serpyllifolia,Orianthera serpyllifolia,77154375-1,77154375-1,Species,Manual
183,Orianthera spermacocea,Orianthera,spermacocea,,,,,,,,,,Loganiaceae,Orianthera spermacocea,Orianthera spermacocea,77154377-1,77154377-1,Species,Manual
184,Orianthera tortuosa,Orianthera,tortuosa,,,,,,,,,,Loganiaceae,Orianthera tortuosa,Orianthera tortuosa,77154378-1,77154378-1,Species,Manual
185,Orianthera wendyae,Orianthera,wendyae,,,,,,,,,,Loganiaceae,Orianthera wendyae,Orianthera wendyae,77154379-1,77154379-1,Species,Manual
186,Phyllangium distylis,Phyllangium,distylis,,,,,,,,,,Loganiaceae,Phyllangium distylis,Phyllangium distylis,991005-1,991005-1,Species,Manual
187,Phyllangium divergens,Phyllangium,divergens,,,,,,,,,,Loganiaceae,Phyllangium divergens,Phyllangium divergens,991007-1,991007-1,Species,Manual
188,Phyllangium palustre,Phyllangium,palustre,,,,,,,,,,Loganiaceae,Phyllangium palustre,Phyllangium palustre,991008-1,991008-1,Species,Manual
189,Phyllangium paradoxum,Phyllangium,paradoxum,,,,,,,,,,Loganiaceae,Phyllangium paradoxum,Phyllangium paradoxum,991004-1,991004-1,Species,Manual
190,Phyllangium sulcatum,Phyllangium,sulcatum,,,,,,,,,,Loganiaceae,Phyllangium sulcatum,Phyllangium sulcatum,991006-1,991006-1,Species,Manual
191,Schizacme archeri,Schizacme,archeri,,,,,,,,,,Loganiaceae,Schizacme archeri,Schizacme archeri,991001-1,991001-1,Species,Manual
192,Schizacme ciliata,Schizacme,ciliata,,,,,,,,,,Loganiaceae,Schizacme ciliata,Schizacme ciliata,77154485-1,77154485-1,Species,Manual
193,Schizacme helmsii,Schizacme,helmsii,,,,,,,,,,Loganiaceae,Schizacme helmsii,Schizacme helmsii,77154480-1,77154480-1,Species,Manual
194,Schizacme montana,Schizacme,montana,,,,,,,,,,Loganiaceae,Schizacme montana,Schizacme montana,991002-1,991002-1,Species,Manual
195,Schizacme novae-zelandiae,Schizacme,novae-zelandiae,,,,,,,,,,Loganiaceae,Schizacme novae-zelandiae,Schizacme novae-zelandiae,77154483-1,77154483-1,Species,Manual
196,Spigelia aceifolia,Spigelia,aceifolia,,,,,,,,,,Loganiaceae,Spigelia aceifolia,Spigelia aceifolia,242169-2,242169-2,Species,Manual
197,Spigelia aenea,Spigelia,aenea,,,,,,,,,,Loganiaceae,Spigelia aenea,Spigelia aenea,546907-1,546907-1,Species,Manual
198,Spigelia alabamensis,Spigelia,alabamensis,,,,,,,,,,Loganiaceae,Spigelia alabamensis,Spigelia alabamensis,60458075-2,60458075-2,Species,Manual
199,Spigelia alborubra,Spigelia,alborubra,,,,,,,,,,Loganiaceae,Spigelia alborubra,Spigelia alborubra,77197934-1,77197934-1,Species,Manual
200,Spigelia amambaiensis,Spigelia,amambaiensis,,,,,,,,,,Loganiaceae,Spigelia amambaiensis,Spigelia amambaiensis,77062626-1,77062626-1,Species,Manual
201,Spigelia amazonica,Spigelia,amazonica,,,,,,,,,,Loganiaceae,Spigelia amazonica,Spigelia amazonica,60434593-2,60434593-2,Species,Manual
202,Spigelia amplexicaulis,Spigelia,amplexicaulis,,,,,,,,,,Loganiaceae,Spigelia amplexicaulis,Spigelia amplexicaulis,242170-2,242170-2,Species,Manual
203,Spigelia andersonii,Spigelia,andersonii,,,,,,,,,,Loganiaceae,Spigelia andersonii,Spigelia andersonii,324568-2,324568-2,Species,Manual
204,Spigelia andina,Spigelia,andina,,,,,,,,,,Loganiaceae,Spigelia andina,Spigelia andina,330744-2,330744-2,Species,Manual
205,Spigelia anthelmia,Spigelia,anthelmia,1.0,1.0,"KN, 36",1.0,104,,,,,Loganiaceae,Spigelia anthelmia,Spigelia anthelmia,318920-2,318920-2,Species,Manual
206,Spigelia asperifolia,Spigelia,asperifolia,,,,,,,,,,Loganiaceae,Spigelia asperifolia,Spigelia asperifolia,546913-1,546913-1,Species,Manual
207,Spigelia ayotzinapensis,Spigelia,ayotzinapensis,,,,,,,,,,Loganiaceae,Spigelia ayotzinapensis,Spigelia ayotzinapensis,77174912-1,77174912-1,Species,Manual
208,Spigelia beccabungoides,Spigelia,beccabungoides,,,,,,,,,,Loganiaceae,Spigelia beccabungoides,Spigelia beccabungoides,242177-2,242177-2,Species,Manual
209,Spigelia beyrichiana,Spigelia,beyrichiana,,,,,,,,,,Loganiaceae,Spigelia beyrichiana,Spigelia beyrichiana,546917-1,546917-1,Species,Manual
210,Spigelia blanchetiana,Spigelia,blanchetiana,,,,,,,,,,Loganiaceae,Spigelia blanchetiana,Spigelia blanchetiana,546919-1,546919-1,Species,Manual
211,Spigelia brachystachya,Spigelia,brachystachya,,,,,,,,,,Loganiaceae,Spigelia brachystachya,Spigelia brachystachya,546920-1,546920-1,Species,Manual
212,Spigelia caaguazuensis,Spigelia,caaguazuensis,,,,,,,,,,Loganiaceae,Spigelia caaguazuensis,Spigelia caaguazuensis,242182-2,242182-2,Species,Manual
213,Spigelia carnosa,Spigelia,carnosa,,,,,,,,,,Loganiaceae,Spigelia carnosa,Spigelia carnosa,242183-2,242183-2,Species,Manual
214,Spigelia cascatensis,Spigelia,cascatensis,,,,,,,,,,Loganiaceae,Spigelia cascatensis,Spigelia cascatensis,242184-2,242184-2,Species,Manual
215,Spigelia catarinensis,Spigelia,catarinensis,,,,,,,,,,Loganiaceae,Spigelia catarinensis,Spigelia catarinensis,242185-2,242185-2,Species,Manual
216,Spigelia chiapensis,Spigelia,chiapensis,,,,,,,,,,Loganiaceae,Spigelia chiapensis,Spigelia chiapensis,319214-2,319214-2,Species,Manual
217,Spigelia chocoensis,Spigelia,chocoensis,,,,,,,,,,Loganiaceae,Spigelia chocoensis,Spigelia chocoensis,77093116-1,77093116-1,Species,Manual
218,Spigelia cipoensis,Spigelia,cipoensis,,,,,,,,,,Loganiaceae,Spigelia cipoensis,Spigelia cipoensis,285434-2,285434-2,Species,Manual
219,Spigelia coelostylioides,Spigelia,coelostylioides,,,,,,,,,,Loganiaceae,Spigelia coelostylioides,Spigelia coelostylioides,319213-2,319213-2,Species,Manual
220,Spigelia colimensis,Spigelia,colimensis,,,,,,,,,,Loganiaceae,Spigelia colimensis,Spigelia colimensis,77093114-1,77093114-1,Species,Manual
221,Spigelia cremnophila,Spigelia,cremnophila,,,,,,,,,,Loganiaceae,Spigelia cremnophila,Spigelia cremnophila,1004882-1,1004882-1,Species,Manual
222,Spigelia faveolata,Spigelia,faveolata,,,,,,,,,,Loganiaceae,Spigelia faveolata,Spigelia faveolata,330742-2,330742-2,Species,Manual
223,Spigelia flava,Spigelia,flava,,,,,,,,,,Loganiaceae,Spigelia flava,Spigelia flava,300211-2,300211-2,Species,Manual
224,Spigelia flemmingiana,Spigelia,flemmingiana,,,,,,,,,,Loganiaceae,Spigelia flemmingiana,Spigelia flemmingiana,546932-1,546932-1,Species,Manual
225,Spigelia gentianoides,Spigelia,gentianoides,,,,,,,,,,Loganiaceae,Spigelia gentianoides,Spigelia gentianoides,30333464-2,30333464-2,Species,Manual
226,Spigelia genuflexa,Spigelia,genuflexa,,,,,,,,,,Loganiaceae,Spigelia genuflexa,Spigelia genuflexa,77114017-1,77114017-1,Species,Manual
227,Spigelia glabrata,Spigelia,glabrata,,,,,,,,,,Loganiaceae,Spigelia glabrata,Spigelia glabrata,546936-1,546936-1,Species,Manual
228,Spigelia gracilis,Spigelia,gracilis,,,,,,,,,,Loganiaceae,Spigelia gracilis,Spigelia gracilis,546938-1,546938-1,Species,Manual
229,Spigelia guerrerensis,Spigelia,guerrerensis,,,,,,,,,,Loganiaceae,Spigelia guerrerensis,Spigelia guerrerensis,77151686-1,77151686-1,Species,Manual
230,Spigelia guianensis,Spigelia,guianensis,,,,,,,,,,Loganiaceae,Spigelia guianensis,Spigelia guianensis,546940-1,546940-1,Species,Manual
231,Spigelia hamellioides,Spigelia,hamellioides,,,,,,,,,,Loganiaceae,Spigelia hamellioides,Spigelia hamellioides,546941-1,546941-1,Species,Manual
232,Spigelia hatschbachii,Spigelia,hatschbachii,,,,,,,,,,Loganiaceae,Spigelia hatschbachii,Spigelia hatschbachii,324566-2,324566-2,Species,Manual
233,Spigelia hedyotidea,Spigelia,hedyotidea,,,,,,,,,,Loganiaceae,Spigelia hedyotidea,Spigelia hedyotidea,546944-1,546944-1,Species,Manual
234,Spigelia heliotropioides,Spigelia,heliotropioides,,,,,,,,,,Loganiaceae,Spigelia heliotropioides,Spigelia heliotropioides,242200-2,242200-2,Species,Manual
235,Spigelia herzogiana,Spigelia,herzogiana,,,,,,,,,,Loganiaceae,Spigelia herzogiana,Spigelia herzogiana,242201-2,242201-2,Species,Manual
236,Spigelia hirtula,Spigelia,hirtula,,,,,,,,,,Loganiaceae,Spigelia hirtula,Spigelia hirtula,77080992-1,77080992-1,Species,Manual
237,Spigelia humboldtiana,Spigelia,humboldtiana,,,,,,,,,,Loganiaceae,Spigelia humboldtiana,Spigelia humboldtiana,546947-1,546947-1,Species,Manual
238,Spigelia hurleyi,Spigelia,hurleyi,,,,,,,,,,Loganiaceae,Spigelia hurleyi,Spigelia hurleyi,20002791-1,20002791-1,Species,Manual
239,Spigelia insignis,Spigelia,insignis,,,,,,,,,,Loganiaceae,Spigelia insignis,Spigelia insignis,324567-2,324567-2,Species,Manual
240,Spigelia kleinii,Spigelia,kleinii,,,,,,,,,,Loganiaceae,Spigelia kleinii,Spigelia kleinii,242207-2,242207-2,Species,Manual
241,Spigelia kuhlmannii,Spigelia,kuhlmannii,,,,,,,,,,Loganiaceae,Spigelia kuhlmannii,Spigelia kuhlmannii,546954-1,546954-1,Species,Manual
242,Spigelia laurina,Spigelia,laurina,,,,,,,,,,Loganiaceae,Spigelia laurina,Spigelia laurina,546956-1,546956-1,Species,Manual
243,Spigelia leiocarpa,Spigelia,leiocarpa,,,,,,,,,,Loganiaceae,Spigelia leiocarpa,Spigelia leiocarpa,20002813-1,20002813-1,Species,Manual
244,Spigelia linarioides,Spigelia,linarioides,,,,,,,,,,Loganiaceae,Spigelia linarioides,Spigelia linarioides,546958-1,546958-1,Species,Manual
245,Spigelia loganioides,Spigelia,loganioides,,,,,,,,,,Loganiaceae,Spigelia loganioides,Spigelia loganioides,546960-1,546960-1,Species,Manual
246,Spigelia longiflora,Spigelia,longiflora,,,,,,,,,,Loganiaceae,Spigelia longiflora,Spigelia longiflora,546961-1,546961-1,Species,Manual
247,Spigelia luciatlantica,Spigelia,luciatlantica,,,,,,,,,,Loganiaceae,Spigelia luciatlantica,Spigelia luciatlantica,20007552-1,20007552-1,Species,Manual
248,Spigelia lundiana,Spigelia,lundiana,,,,,,,,,,Loganiaceae,Spigelia lundiana,Spigelia lundiana,546964-1,546964-1,Species,Manual
249,Spigelia macrophylla,Spigelia,macrophylla,,,,,,,,,,Loganiaceae,Spigelia macrophylla,Spigelia macrophylla,546965-1,546965-1,Species,Manual
250,Spigelia marilandica,Spigelia,marilandica,,,,,,,,,,Loganiaceae,Spigelia marilandica,Spigelia marilandica,546966-1,546966-1,Species,Manual
251,Spigelia martiana,Spigelia,martiana,,,,,,,,,,Loganiaceae,Spigelia martiana,Spigelia martiana,546967-1,546967-1,Species,Manual
252,Spigelia megapotamica,Spigelia,megapotamica,,,,,,,,,,Loganiaceae,Spigelia megapotamica,Spigelia megapotamica,77093118-1,77093118-1,Species,Manual
253,Spigelia mexicana,Spigelia,mexicana,,,,,,,,,,Loganiaceae,Spigelia mexicana,Spigelia mexicana,546968-1,546968-1,Species,Manual
254,Spigelia mocinoi,Spigelia,mocinoi,,,,,,,,,,Loganiaceae,Spigelia mocinoi,Spigelia mocinoi,77174913-1,77174913-1,Species,Manual
255,Spigelia nicotianiflora,Spigelia,nicotianiflora,,,,,,,,,,Loganiaceae,Spigelia nicotianiflora,Spigelia nicotianiflora,242218-2,242218-2,Species,Manual
256,Spigelia novogranatensis,Spigelia,novogranatensis,,,,,,,,,,Loganiaceae,Spigelia novogranatensis,Spigelia novogranatensis,331049-2,331049-2,Species,Manual
257,Spigelia olfersiana,Spigelia,olfersiana,,,,,,,,,,Loganiaceae,Spigelia olfersiana,Spigelia olfersiana,546974-1,546974-1,Species,Manual
258,Spigelia palmeri,Spigelia,palmeri,,,,,,,,,,Loganiaceae,Spigelia palmeri,Spigelia palmeri,242221-2,242221-2,Species,Manual
259,Spigelia paraguariensis,Spigelia,paraguariensis,,,,,,,,,,Loganiaceae,Spigelia paraguariensis,Spigelia paraguariensis,242222-2,242222-2,Species,Manual
260,Spigelia pedunculata,Spigelia,pedunculata,,,,,,,,,,Loganiaceae,Spigelia pedunculata,Spigelia pedunculata,546982-1,546982-1,Species,Manual
261,Spigelia persicarioides,Spigelia,persicarioides,,,,,,,,,,Loganiaceae,Spigelia persicarioides,Spigelia persicarioides,242225-2,242225-2,Species,Manual
262,Spigelia petiolata,Spigelia,petiolata,,,,,,,,,,Loganiaceae,Spigelia petiolata,Spigelia petiolata,20002804-1,20002804-1,Species,Manual
263,Spigelia polystachya,Spigelia,polystachya,,,,,,,,,,Loganiaceae,Spigelia polystachya,Spigelia polystachya,546986-1,546986-1,Species,Manual
264,Spigelia pulchella,Spigelia,pulchella,,,,,,,,,,Loganiaceae,Spigelia pulchella,Spigelia pulchella,546987-1,546987-1,Species,Manual
265,Spigelia pusilla,Spigelia,pusilla,,,,,,,,,,Loganiaceae,Spigelia pusilla,Spigelia pusilla,546989-1,546989-1,Species,Manual
266,Spigelia pygmaea,Spigelia,pygmaea,,,,,,,,,,Loganiaceae,Spigelia pygmaea,Spigelia pygmaea,242228-2,242228-2,Species,Manual
267,Spigelia queretarensis,Spigelia,queretarensis,,,,,,,,,,Loganiaceae,Spigelia queretarensis,Spigelia queretarensis,77093115-1,77093115-1,Species,Manual
268,Spigelia ramosa,Spigelia,ramosa,,,,,,,,,,Loganiaceae,Spigelia ramosa,Spigelia ramosa,242230-2,242230-2,Species,Manual
269,Spigelia reitzii,Spigelia,reitzii,,,,,,,,,,Loganiaceae,Spigelia reitzii,Spigelia reitzii,242232-2,242232-2,Species,Manual
270,Spigelia riedeliana,Spigelia,riedeliana,,,,,,,,,,Loganiaceae,Spigelia riedeliana,Spigelia riedeliana,242233-2,242233-2,Species,Manual
271,Spigelia rojasiana,Spigelia,rojasiana,,,,,,,,,,Loganiaceae,Spigelia rojasiana,Spigelia rojasiana,242235-2,242235-2,Species,Manual
272,Spigelia rondoniensis,Spigelia,rondoniensis,,,,,,,,,,Loganiaceae,Spigelia rondoniensis,Spigelia rondoniensis,77084193-1,77084193-1,Species,Manual
273,Spigelia scabrella,Spigelia,scabrella,,,,,,,,,,Loganiaceae,Spigelia scabrella,Spigelia scabrella,547002-1,547002-1,Species,Manual
274,Spigelia schlechtendaliana,Spigelia,schlechtendaliana,,,,,,,,,,Loganiaceae,Spigelia schlechtendaliana,Spigelia schlechtendaliana,547003-1,547003-1,Species,Manual
275,Spigelia schultesii,Spigelia,schultesii,,,,,,,,,,Loganiaceae,Spigelia schultesii,Spigelia schultesii,77106774-1,77106774-1,Species,Manual
276,Spigelia sellowiana,Spigelia,sellowiana,,,,,,,,,,Loganiaceae,Spigelia sellowiana,Spigelia sellowiana,547007-1,547007-1,Species,Manual
277,Spigelia sordida,Spigelia,sordida,,,,,,,,,,Loganiaceae,Spigelia sordida,Spigelia sordida,77080991-1,77080991-1,Species,Manual
278,Spigelia spartioides,Spigelia,spartioides,,,,,,,,,,Loganiaceae,Spigelia spartioides,Spigelia spartioides,547010-1,547010-1,Species,Manual
279,Spigelia speciosa,Spigelia,speciosa,,,,,,,,,,Loganiaceae,Spigelia speciosa,Spigelia speciosa,547011-1,547011-1,Species,Manual
280,Spigelia sphagnicola,Spigelia,sphagnicola,,,,,,,,,,Loganiaceae,Spigelia sphagnicola,Spigelia sphagnicola,547012-1,547012-1,Species,Manual
281,Spigelia splendens,Spigelia,splendens,,,,,,,,,,Loganiaceae,Spigelia splendens,Spigelia splendens,547015-1,547015-1,Species,Manual
282,Spigelia spruceana,Spigelia,spruceana,,,,,,,,,,Loganiaceae,Spigelia spruceana,Spigelia spruceana,77155583-1,77155583-1,Species,Manual
283,Spigelia stenocardia,Spigelia,stenocardia,,,,,,,,,,Loganiaceae,Spigelia stenocardia,Spigelia stenocardia,77089479-1,77089479-1,Species,Manual
284,Spigelia stenophylla,Spigelia,stenophylla,,,,,,,,,,Loganiaceae,Spigelia stenophylla,Spigelia stenophylla,547016-1,547016-1,Species,Manual
285,Spigelia tetraptera,Spigelia,tetraptera,,,,,,,,,,Loganiaceae,Spigelia tetraptera,Spigelia tetraptera,242239-2,242239-2,Species,Manual
286,Spigelia texana,Spigelia,texana,,,,,,,,,,Loganiaceae,Spigelia texana,Spigelia texana,547019-1,547019-1,Species,Manual
287,Spigelia trispicata,Spigelia,trispicata,,,,,,,,,,Loganiaceae,Spigelia trispicata,Spigelia trispicata,319215-2,319215-2,Species,Manual
288,Spigelia valenzuelae,Spigelia,valenzuelae,,,,,,,,,,Loganiaceae,Spigelia valenzuelae,Spigelia valenzuelae,242241-2,242241-2,Species,Manual
289,Spigelia vestita,Spigelia,vestita,,,,,,,,,,Loganiaceae,Spigelia vestita,Spigelia vestita,242243-2,242243-2,Species,Manual
290,Spigelia xochiquetzalliana,Spigelia,xochiquetzalliana,,,,,,,,,,Loganiaceae,Spigelia xochiquetzalliana,Spigelia xochiquetzalliana,77162351-1,77162351-1,Species,Manual
291,Strychnos aculeata,Strychnos,aculeata,1.0,1.0,76,1.0,26,,,0.0,3,Loganiaceae,Strychnos aculeata,Strychnos aculeata,547024-1,547024-1,Species,Manual
292,Strychnos acuta,Strychnos,acuta,,,,,,,,,,Loganiaceae,Strychnos acuta,Strychnos acuta,547027-1,547027-1,Species,Manual
293,Strychnos aenea,Strychnos,aenea,,,,,,,,,,Loganiaceae,Strychnos aenea,Strychnos aenea,547030-1,547030-1,Species,Manual
294,Strychnos afzelii,Strychnos,afzelii,1.0,1.0,82,,,,,,,Loganiaceae,Strychnos afzelii,Strychnos afzelii,547031-1,547031-1,Species,Manual
295,Strychnos alvimiana,Strychnos,alvimiana,,,,,,,,,,Loganiaceae,Strychnos alvimiana,Strychnos alvimiana,247277-2,247277-2,Species,Manual
296,Strychnos amazonica,Strychnos,amazonica,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos amazonica,Strychnos amazonica,247278-2,247278-2,Species,Manual
297,Strychnos andamanensis,Strychnos,andamanensis,,,,,,,,,,Loganiaceae,Strychnos andamanensis,Strychnos andamanensis,547037-1,547037-1,Species,Manual
298,Strychnos angolensis,Strychnos,angolensis,1.0,1.0,39,,,,,0.0,"3, 37, 39",Loganiaceae,Strychnos angolensis,Strychnos angolensis,547038-1,547038-1,Species,Manual
299,Strychnos angustiflora,Strychnos,angustiflora,1.0,1.0,"57, 92",,,,,,,Loganiaceae,Strychnos angustiflora,Strychnos angustiflora,547039-1,547039-1,Species,Manual
300,Strychnos araguaensis,Strychnos,araguaensis,,,,,,,,,,Loganiaceae,Strychnos araguaensis,Strychnos araguaensis,247279-2,247279-2,Species,Manual
301,Strychnos asperula,Strychnos,asperula,,,,,,,,,,Loganiaceae,Strychnos asperula,Strychnos asperula,247280-2,247280-2,Species,Manual
302,Strychnos asterantha,Strychnos,asterantha,,,,,,,,,,Loganiaceae,Strychnos asterantha,Strychnos asterantha,547045-1,547045-1,Species,Manual
303,Strychnos atlantica,Strychnos,atlantica,1.0,1.0,64,,,,,,,Loganiaceae,Strychnos atlantica,Strychnos atlantica,247281-2,247281-2,Species,Manual
304,Strychnos axillaris,Strychnos,axillaris,,,,,,,,,,Loganiaceae,Strychnos axillaris,Strychnos axillaris,547050-1,547050-1,Species,Manual
305,Strychnos bahiensis,Strychnos,bahiensis,,,,,,,,,,Loganiaceae,Strychnos bahiensis,Strychnos bahiensis,247282-2,247282-2,Species,Manual
306,Strychnos barnhartiana,Strychnos,barnhartiana,1.0,1.0,87,,,,,,,Loganiaceae,Strychnos barnhartiana,Strychnos barnhartiana,247283-2,247283-2,Species,Manual
307,Strychnos barteri,Strychnos,barteri,,,,,,,,,,Loganiaceae,Strychnos barteri,Strychnos barteri,547059-1,547059-1,Species,Manual
308,Strychnos benthamii,Strychnos,benthamii,,,,,,,,,,Loganiaceae,Strychnos benthamii,Strychnos benthamii,547063-1,547063-1,Species,Manual
309,Strychnos bicolor,Strychnos,bicolor,,,,,,,,,,Loganiaceae,Strychnos bicolor,Strychnos bicolor,547068-1,547068-1,Species,Manual
310,Strychnos bifurcata,Strychnos,bifurcata,,,,,,,,,,Loganiaceae,Strychnos bifurcata,Strychnos bifurcata,547069-1,547069-1,Species,Manual
311,Strychnos boonei,Strychnos,boonei,,,,,,,,,,Loganiaceae,Strychnos boonei,Strychnos boonei,547073-1,547073-1,Species,Manual
312,Strychnos borneensis,Strychnos,borneensis,1.0,1.0,57,,,,,,,Loganiaceae,Strychnos borneensis,Strychnos borneensis,547074-1,547074-1,Species,Manual
313,Strychnos brachiata,Strychnos,brachiata,1.0,1.0,KN,,,,,,,Loganiaceae,Strychnos brachiata,Strychnos brachiata,547077-1,547077-1,Species,Manual
314,Strychnos brachistantha,Strychnos,brachistantha,,,,,,,,,,Loganiaceae,Strychnos brachistantha,Strychnos brachistantha,247287-2,247287-2,Species,Manual
315,Strychnos brasiliensis,Strychnos,brasiliensis,1.0,1.0,"76, 85",1.0,101,,,0.0,3,Loganiaceae,Strychnos brasiliensis,Strychnos brasiliensis,547081-1,547081-1,Species,Manual
316,Strychnos bredemeyeri,Strychnos,bredemeyeri,,,,,,,,,,Loganiaceae,Strychnos bredemeyeri,Strychnos bredemeyeri,547083-1,547083-1,Species,Manual
317,Strychnos campicola,Strychnos,campicola,,,,,,,,,,Loganiaceae,Strychnos campicola,Strychnos campicola,547093-1,547093-1,Species,Manual
318,Strychnos camptoneura,Strychnos,camptoneura,1.0,1.0,55,1.0,102,1.0,102,0.0,37,Loganiaceae,Strychnos camptoneura,Strychnos camptoneura,547094-1,547094-1,Species,Manual
319,Strychnos canthioides,Strychnos,canthioides,,,,,,,,,,Loganiaceae,Strychnos canthioides,Strychnos canthioides,547096-1,547096-1,Species,Manual
320,Strychnos castelnaeana,Strychnos,castelnaeana,1.0,1.0,48,,,,,,,Loganiaceae,Strychnos castelnaeana,Strychnos castelnaeana,547100-1,547100-1,Species,Manual
321,Strychnos cathayensis,Strychnos,cathayensis,1.0,1.0,88,,,,,,,Loganiaceae,Strychnos cathayensis,Strychnos cathayensis,547102-1,547102-1,Species,Manual
322,Strychnos cayennensis,Strychnos,cayennensis,,,,,,,,,,Loganiaceae,Strychnos cayennensis,Strychnos cayennensis,247293-2,247293-2,Species,Manual
323,Strychnos cerradoensis,Strychnos,cerradoensis,,,,,,,,,,Loganiaceae,Strychnos cerradoensis,Strychnos cerradoensis,247294-2,247294-2,Species,Manual
324,Strychnos chlorantha,Strychnos,chlorantha,1.0,1.0,68,,,,,,,Loganiaceae,Strychnos chlorantha,Strychnos chlorantha,547109-1,547109-1,Species,Manual
325,Strychnos chromatoxylon,Strychnos,chromatoxylon,,,,,,,,,,Loganiaceae,Strychnos chromatoxylon,Strychnos chromatoxylon,547112-1,547112-1,Species,Manual
326,Strychnos chrysophylla,Strychnos,chrysophylla,1.0,1.0,78,,,,,,,Loganiaceae,Strychnos chrysophylla,Strychnos chrysophylla,547114-1,547114-1,Species,Manual
327,Strychnos cocculoides,Strychnos,cocculoides,,,,,,,,0.0,3,Loganiaceae,Strychnos cocculoides,Strychnos cocculoides,547124-1,547124-1,Species,Manual
328,Strychnos cogens,Strychnos,cogens,,,,,,,,,,Loganiaceae,Strychnos cogens,Strychnos cogens,547125-1,547125-1,Species,Manual
329,Strychnos colombiensis,Strychnos,colombiensis,,,,,,,,,,Loganiaceae,Strychnos colombiensis,Strychnos colombiensis,247295-2,247295-2,Species,Manual
330,Strychnos congolana,Strychnos,congolana,,,,,,,,,,Loganiaceae,Strychnos congolana,Strychnos congolana,547134-1,547134-1,Species,Manual
331,Strychnos coriacea,Strychnos,coriacea,,,,,,,,,,Loganiaceae,Strychnos coriacea,Strychnos coriacea,547138-1,547138-1,Species,Manual
332,Strychnos croatii,Strychnos,croatii,,,,1.0,101,,,,,Loganiaceae,Strychnos croatii,Strychnos croatii,247298-2,247298-2,Species,Manual
333,Strychnos cuminodora,Strychnos,cuminodora,,,,,,,,,,Loganiaceae,Strychnos cuminodora,Strychnos cuminodora,547143-1,547143-1,Species,Manual
334,Strychnos cuniculina,Strychnos,cuniculina,,,,,,,,,,Loganiaceae,Strychnos cuniculina,Strychnos cuniculina,547145-1,547145-1,Species,Manual
335,Strychnos curtisii,Strychnos,curtisii,,,,,,,,,,Loganiaceae,Strychnos curtisii,Strychnos curtisii,547147-1,547147-1,Species,Manual
