,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Sources,powo_Snippet
20,470301-1,Acacia falciformis,Acacia falciformis,470301-1,Species,Useful Plants Data::::::::::,
21,77089274-1,Vachellia gerrardii,Vachellia gerrardii,77089274-1,Species,Useful Plants Data::LITTOX::::::::,
22,470495-1,Acacia harpophylla,Acacia harpophylla,470495-1,Species,Useful Plants Data::LITTOX::::::::,
23,60453646-2,Vachellia hockii,Vachellia hockii,60453646-2,Species,Useful Plants Data::::::::::,
24,470576-1,Acacia implexa,Acacia implexa,470576-1,Species,Useful Plants Data::LITTOX::::::::,
25,77087189-1,Vachellia karroo,Vachellia karroo,77087189-1,Species,Useful Plants Data::LITTOX::::::::,
26,60451308-2,Senegalia laeta,Senegalia laeta,60451308-2,Species,Useful Plants Data::::::::::,
27,77132539-1,Vachellia leucophloea,Vachellia leucophloea,77132539-1,Species,Useful Plants Data::LITTOX::::::::,
28,470873-1,Acacia melanoxylon,Acacia melanoxylon,470873-1,Species,Useful Plants Data::LITTOX::::::::,
29,470953-1,Acacia murrayana,Acacia murrayana,470953-1,Species,Useful Plants Data::LITTOX::::::::,
30,77131761-1,Vachellia oerfota,Vachellia oerfota,77131761-1,Species,Useful Plants Data::::::::::,
31,77125575-1,Senegalia pennata,Senegalia pennata,77125575-1,Species,Useful Plants Data::LITTOX::::::::,
32,471112-1,Acacia penninervis,Acacia penninervis,471112-1,Species,Useful Plants Data::LITTOX::::::::,
33,60451312-2,Senegalia polyacantha,Senegalia polyacantha,60451312-2,Species,Useful Plants Data::LITTOX::::::::,
34,77132525-1,Senegalia pruinescens,Senegalia pruinescens,77132525-1,Species,Useful Plants Data::::::::::,
35,471313-1,Acacia retinodes,Acacia retinodes,471313-1,Species,Useful Plants Data::::::::::,
36,471382-1,Acacia salicina,Acacia salicina,471382-1,Species,Useful Plants Data::LITTOX::::::::,
37,518304-1,Senegalia senegal,Senegalia senegal,518304-1,Species,Useful Plants Data::LITTOX::::::::,
38,77089276-1,Vachellia seyal,Vachellia seyal,77089276-1,Species,Useful Plants Data::LITTOX::::::::,
39,77132544-1,Vachellia tomentosa,Vachellia tomentosa,77132544-1,Species,Useful Plants Data::::::::::,
40,337657-1,Acalypha ornata,Acalypha ornata,337657-1,Species,Useful Plants Data::::::::::,
41,337939-1,Acalypha wilkesiana,Acalypha wilkesiana,337939-1,Species,Useful Plants Data::LITTOX:::CPCS:::::,
42,1651-2,Acanthocladus brasiliensis,Acanthocladus brasiliensis,1651-2,Species,Useful Plants Data::LITTOX::::::::,
43,291939-1,Citrullus naudinianus,Citrullus naudinianus,291939-1,Species,Useful Plants Data::LITTOX::::::::,
44,44873-1,Acanthus ilicifolius,Acanthus ilicifolius,44873-1,Species,Useful Plants Data::::::::::,
45,1867-2,Acer rubrum,Acer rubrum,1867-2,Species,Useful Plants Data::LITTOX::Cornell CALS::::::,
46,2294-2,Achillea millefolium,Achillea millefolium,2294-2,Species,Useful Plants Data::LITTOX:::CPCS:UCANR:USDA(Duke):TPPT::,
47,174314-1,Achillea tenuifolia,Achillea tenuifolia,174314-1,Species,Useful Plants Data::LITTOX::::::::,
48,989033-1,Achnatherum brandisii,Achnatherum brandisii,989033-1,Species,Useful Plants Data::::::::::,
49,77061725-1,Achnatherum sibiricum,Achnatherum sibiricum,77061725-1,Species,Useful Plants Data::LITTOX::::::::,
50,337987-1,Acidoton urens,Acidoton urens,337987-1,Species,Useful Plants Data::LITTOX::::::::,
51,174533-1,Acmella caulirhiza,Acmella caulirhiza,174533-1,Species,Useful Plants Data::::::::::,
52,914780-1,Acmella paniculata,Acmella paniculata,914780-1,Species,Useful Plants Data::::::::::,
53,899079-1,Acokanthera laevigata,Acokanthera laevigata,899079-1,Species,Useful Plants Data::LITTOX::::::::,
54,76349-1,Acokanthera oppositifolia,Acokanthera oppositifolia,76349-1,Species,Useful Plants Data::LITTOX::::::::,
55,909903-1,Acokanthera rotundata,Acokanthera rotundata,909903-1,Species,Useful Plants Data::LITTOX::::::::,
56,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,Useful Plants Data:POWO pages(/taxon/urn:lsid:ipni.org:names:60447729-2):LITTOX::::::::, <b>Use</b>: A potent arrow-<em>poison</em> is prepared from the roots.
57,707528-1,Aconitum lethale,Aconitum lethale,707528-1,Species,Useful Plants Data::LITTOX::::::::,
58,707574-1,Aconitum maximum,Aconitum maximum,707574-1,Species,Useful Plants Data::LITTOX::::::::,
59,707615-1,Aconitum napellus,Aconitum napellus,707615-1,Species,Useful Plants Data::LITTOX:de_wiki:hr_wiki::::USDA(Duke):TPPT:CliniTox:,
60,707756-1,Aconitum reclinatum,Aconitum reclinatum,707756-1,Species,Useful Plants Data::LITTOX::::::::,
61,84009-1,Acorus calamus,Acorus calamus,84009-1,Species,Useful Plants Data::LITTOX:::CPCS::USDA(Duke):TPPT::,
62,555360-1,Acridocarpus plagiopterus,Acridocarpus plagiopterus,555360-1,Species,Useful Plants Data::::::::::,
63,770718-1,Acronychia pedunculata,Acronychia pedunculata,770718-1,Species,Useful Plants Data::LITTOX::::::::,
64,444370-1,Acrotome inflata,Acrotome inflata,444370-1,Species,Useful Plants Data::::::::::,
65,330907-2,Actaea pachypoda,Actaea pachypoda,330907-2,Species,Useful Plants Data::LITTOX:en_wiki::::USDA(Duke):::,
66,1082557-2,Actaea rubra,Actaea rubra,1082557-2,Species,Useful Plants Data::LITTOX:::CPCS::USDA(Duke):::,
67,303913-2,Actaea spicata,Actaea spicata,303913-2,Species,Useful Plants Data::LITTOX:fr_wiki::CPCS::USDA(Duke):TPPT::,
68,17008200-1,Actiniopteris radiata,Actiniopteris radiata,17008200-1,Species,Useful Plants Data::::::::::,
69,462314-1,Actinodaphne procera,Actinodaphne procera,462314-1,Species,Useful Plants Data::::::::::,
70,558628-1,Adansonia digitata,Adansonia digitata,558628-1,Species,Useful Plants Data::LITTOX::::::::,
71,317691-2,Adenanthera pavonina,Adenanthera pavonina,317691-2,Species,Useful Plants Data::LITTOX::::::::,
72,674060-1,Adenia cissampeloides,Adenia cissampeloides,674060-1,Species,Useful Plants Data::::::::::,
73,674071-1,Adenia digitata,Adenia digitata,674071-1,Species,Useful Plants Data::LITTOX::::::::,
74,674077-1,Adenia ellenbeckii,Adenia ellenbeckii,674077-1,Species,Useful Plants Data::LITTOX::::::::,
75,674088-1,Adenia gracilis,Adenia gracilis,674088-1,Species,Useful Plants Data::::::::::,
76,674091-1,Adenia gummifera,Adenia gummifera,674091-1,Species,Useful Plants Data::LITTOX::::::::,
77,674098-1,Adenia heterophylla,Adenia heterophylla,674098-1,Species,Useful Plants Data::::::::::,
78,674099-1,Adenia hondala,Adenia hondala,674099-1,Species,Useful Plants Data::LITTOX::::::::,
79,674115-1,Adenia lobata,Adenia lobata,674115-1,Species,Useful Plants Data::LITTOX::::::::,
80,674122-1,Adenia macrophylla,Adenia macrophylla,674122-1,Species,Useful Plants Data::::::::::,
81,674169-1,Adenia rumicifolia,Adenia rumicifolia,674169-1,Species,Useful Plants Data::::::::::,
82,674203-1,Adenia volkensii,Adenia volkensii,674203-1,Species,Useful Plants Data::LITTOX::::::::,
83,76360-1,Adenium boehmianum,Adenium boehmianum,76360-1,Species,Useful Plants Data::LITTOX::::::::,
84,76366-1,Adenium multiflorum,Adenium multiflorum,76366-1,Species,Useful Plants Data:POWO pages(/taxon/urn:lsid:ipni.org:names:76366-1):LITTOX::::::::," <b>Appearance</b>: -like root, up to 1 m. in diameter with <em>poisonous</em> white latex"
85,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,Useful Plants Data:POWO pages(/taxon/urn:lsid:ipni.org:names:76369-1):LITTOX:en_wiki::CPCS:::::," <b>Use</b>:  been used, for example, in arrow <em>poison</em>."
86,76369-1,Adenium obesum,Adenium obesum,76369-1,Species,Useful Plants Data:POWO pages(/taxon/urn:lsid:ipni.org:names:76369-1):LITTOX:en_wiki::CPCS:::::, <b>Use</b>: The plant contains very <em>toxic</em> cardiac glycosides and has
87,76370-1,Adenium oleifolium,Adenium oleifolium,76370-1,Species,Useful Plants Data::LITTOX::::::::,
88,708056-1,Adonis aestivalis,Adonis aestivalis,708056-1,Species,Useful Plants Data::LITTOX::::::TPPT:CliniTox:,
89,708062-1,Adonis annua,Adonis annua,708062-1,Species,Useful Plants Data::LITTOX::::::TPPT::,
90,708126-1,Adonis microcarpa,Adonis microcarpa,708126-1,Species,Useful Plants Data::LITTOX::::::::,
91,305359-2,Adonis vernalis,Adonis vernalis,305359-2,Species,Useful Plants Data::LITTOX:en_wiki:fr_wiki:hu_wiki:::::TPPT:CliniTox:,
92,586618-1,Aegiceras corniculatum,Aegiceras corniculatum,586618-1,Species,Useful Plants Data::LITTOX::::::::,
93,770819-1,Aegle marmelos,Aegle marmelos,770819-1,Species,Useful Plants Data::LITTOX::::::::,
94,60475111-2,Aeollanthus suaveolens,Aeollanthus suaveolens,60475111-2,Species,Useful Plants Data::LITTOX::::::::,
95,59030-1,Aerva javanica,Aerva javanica,59030-1,Species,Useful Plants Data::::::::::,
96,472784-1,Aeschynomene indica,Aeschynomene indica,472784-1,Species,Useful Plants Data::LITTOX::::::::,
97,781583-1,Aesculus californica,Aesculus californica,781583-1,Species,Useful Plants Data::LITTOX:::CPCS:::::,
98,271789-2,Aesculus flava,Aesculus flava,271789-2,Species,Useful Plants Data::LITTOX::::::::,
99,30124420-2,Aesculus glabra,Aesculus glabra,30124420-2,Species,Useful Plants Data::LITTOX:::CPCS:::::,
100,781594-1,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,Species,Useful Plants Data::LITTOX:en_wiki:fr_wiki:hu_wiki::::USDA(Duke):TPPT:CliniTox:,
101,781617-1,Aesculus parryi,Aesculus parryi,781617-1,Species,Useful Plants Data::LITTOX::::::::,
102,781619-1,Aesculus pavia,Aesculus pavia,781619-1,Species,Useful Plants Data::LITTOX:::CPCS:::::,
103,837341-1,Aethusa cynapium,Aethusa cynapium,837341-1,Species,Useful Plants Data::LITTOX:de_wiki:fr_wiki:hr_wiki:hu_wiki::CPCS:::TPPT:CliniTox:,
104,770830-1,Afraegle paniculata,Afraegle paniculata,770830-1,Species,Useful Plants Data::::::::::,
105,871877-1,Aframomum melegueta,Aframomum melegueta,871877-1,Species,Useful Plants Data::LITTOX::::::::,
106,473043-1,Afzelia africana,Afzelia africana,473043-1,Species,Useful Plants Data::LITTOX::::::::,
107,473087-1,Aganope gabonica,Aganope gabonica,473087-1,Species,Useful Plants Data::::::::::,
108,473088-1,Aganope heptaphylla,Aganope heptaphylla,473088-1,Species,Useful Plants Data::LITTOX::::::::,
109,1020686-1,Aganope stuhlmannii,Aganope stuhlmannii,1020686-1,Species,Useful Plants Data::::::::::,
110,326177-1,Agarista salicifolia,Agarista salicifolia,326177-1,Species,Useful Plants Data::LITTOX::::::::,
111,319063-2,Agave americana,Agave americana,319063-2,Species,Useful Plants Data::LITTOX:::CPCS:::TPPT::,
112,6379-2,Agave aurea,Agave aurea,6379-2,Species,Useful Plants Data::::::::::,
113,6391-2,Agave bovicornuta,Agave bovicornuta,6391-2,Species,Useful Plants Data::::::::::,
114,62042-1,Agave inaequidens,Agave inaequidens,62042-1,Species,Useful Plants Data::::::::::,
115,62079-1,Agave lecheguilla,Agave lecheguilla,62079-1,Species,Useful Plants Data::::::::::,
116,62172-1,Agave parryi,Agave parryi,62172-1,Species,Useful Plants Data::::::::::,
117,6630-2,Agave parvidentata,Agave parvidentata,6630-2,Species,Useful Plants Data::::::::::,
118,271809-2,Agave scabra,Agave scabra,271809-2,Species,Useful Plants Data::::::::::,
119,62261-1,Agave schottii,Agave schottii,62261-1,Species,Useful Plants Data::::::::::,
120,6755-2,Agave utahensis,Agave utahensis,6755-2,Species,Useful Plants Data::LITTOX::::::::,
121,6793-2,Agave wocomahi,Agave wocomahi,6793-2,Species,Useful Plants Data::::::::::,
122,264099-1,Agelaea pentagyna,Agelaea pentagyna,264099-1,Species,Useful Plants Data::::::::::,
123,6811-2,Ageratina adenophora,Ageratina adenophora,6811-2,Species,Useful Plants Data::LITTOX:::CPCS:::::,
124,6815-2,Ageratina altissima,Ageratina altissima,6815-2,Species,Useful Plants Data::LITTOX:en_wiki:::::::,
125,7013-2,Ageratina riparia,Ageratina riparia,7013-2,Species,Useful Plants Data::LITTOX::::::::,
126,7069-2,Ageratina wrightii,Ageratina wrightii,7069-2,Species,Useful Plants Data::LITTOX::::::::,
127,7086-2,Ageratum conyzoides,Ageratum conyzoides,7086-2,Species,Useful Plants Data::LITTOX:::CPCS:::::,
128,167448-3,Aglaia cucullata,Aglaia cucullata,167448-3,Species,Useful Plants Data::LITTOX::::::::,
129,577310-1,Aglaia sapindina,Aglaia sapindina,577310-1,Species,Useful Plants Data::LITTOX::::::::,
130,316550-2,Agrimonia eupatoria,Agrimonia eupatoria,316550-2,Species,Useful Plants Data::LITTOX::::::::,
131,150316-1,Agrostemma githago,Agrostemma githago,150316-1,Species,Useful Plants Data::LITTOX:en_wiki:fr_wiki:hu_wiki:Cornell CALS::::TPPT:CliniTox:,
132,385783-1,Agrostis gigantea,Agrostis gigantea,385783-1,Species,Useful Plants Data::LITTOX::::::::,
133,813521-1,Ailanthus altissima,Ailanthus altissima,813521-1,Species,Useful Plants Data::LITTOX::::UCANR::TPPT::,
134,77173662-1,Aizoon africanum,Aizoon africanum,77173662-1,Species,Useful Plants Data::LITTOX::::::::,
135,360502-1,Aizoon secundum,Aizoon secundum,360502-1,Species,Useful Plants Data::LITTOX::::::::,
136,444595-1,Ajuga integrifolia,Ajuga integrifolia,444595-1,Species,Useful Plants Data::LITTOX::::::::,
137,444598-1,Ajuga iva,Ajuga iva,444598-1,Species,Useful Plants Data::::::::::,
138,77176689-1,Alafia landolphioides,Alafia landolphioides,77176689-1,Species,Useful Plants Data::::::::::,
139,76437-1,Alafia lucida,Alafia lucida,76437-1,Species,Useful Plants Data::::::::::,
140,580104-1,Albertisia cordifolia,Albertisia cordifolia,580104-1,Species,Useful Plants Data::::::::::,
141,473164-1,Albizia acle,Albizia acle,473164-1,Species,Useful Plants Data::LITTOX::::::::,
142,473169-1,Albizia altissima,Albizia altissima,473169-1,Species,Useful Plants Data::::::::::,
143,473125-1,Albizia carrii,Albizia carrii,473125-1,Species,Useful Plants Data::::::::::,
144,473204-1,Albizia chinensis,Albizia chinensis,473204-1,Species,Useful Plants Data::LITTOX::::::::,
145,473213-1,Albizia coriaria,Albizia coriaria,473213-1,Species,Useful Plants Data::LITTOX::::::::,
146,1208750-2,Albizia inundata,Albizia inundata,1208750-2,Species,Useful Plants Data::LITTOX::::::::,
147,99109-3,Albizia lebbeck,Albizia lebbeck,99109-3,Species,Useful Plants Data::LITTOX::::::::,
148,473286-1,Albizia lebbekoides,Albizia lebbekoides,473286-1,Species,Useful Plants Data::::::::::,
149,473351-1,Albizia pedicellata,Albizia pedicellata,473351-1,Species,Useful Plants Data::::::::::,
150,473360-1,Albizia procera,Albizia procera,473360-1,Species,Useful Plants Data::LITTOX::::::::,
151,473369-1,Albizia retusa,Albizia retusa,473369-1,Species,Useful Plants Data::::::::::,
152,227126-2,Samanea saman,Samanea saman,227126-2,Species,Useful Plants Data::LITTOX:::CPCS:::::,
153,473385-1,Albizia saponaria,Albizia saponaria,473385-1,Species,Useful Plants Data::LITTOX::::::::,
154,473405-1,Albizia tanganyicensis,Albizia tanganyicensis,473405-1,Species,Useful Plants Data::LITTOX::::::::,
155,473423-1,Albizia versicolor,Albizia versicolor,473423-1,Species,Useful Plants Data::LITTOX::::::::,
156,527306-1,Albuca abyssinica,Albuca abyssinica,527306-1,Species,Useful Plants Data::LITTOX::::::::,
157,77097718-1,Albuca prasina,Albuca prasina,77097718-1,Species,Useful Plants Data::LITTOX::::::::,
158,77097723-1,Albuca toxicaria,Albuca toxicaria,77097723-1,Species,Useful Plants Data::LITTOX::::::::,
159,77097738-1,Albuca virens,Albuca virens,77097738-1,Species,Useful Plants Data::LITTOX::::::::,
160,338437-1,Alchornea parviflora,Alchornea parviflora,338437-1,Species,Useful Plants Data::::::::::,
161,338460-1,Alchornea sicca,Alchornea sicca,338460-1,Species,Useful Plants Data::::::::::,
162,944297-1,Alectryon oleifolius,Alectryon oleifolius,944297-1,Species,Useful Plants Data::LITTOX::::::::,
163,338514-1,Aleurites moluccanus,Aleurites moluccanus,338514-1,Species,Useful Plants Data::LITTOX:::CPCS:::::,
164,814247-1,Alkekengi officinarum,Alkekengi officinarum,814247-1,Species,Useful Plants Data::::::::TPPT::,
165,319065-2,Allamanda cathartica,Allamanda cathartica,319065-2,Species,Useful Plants Data:POWO pages(/taxon/urn:lsid:ipni.org:names:319065-2):LITTOX::::::::, <b>Use</b>: <em>Poisons</em>.
166,527759-1,Allium canadense,Allium canadense,527759-1,Species,Useful Plants Data::LITTOX::::::::,
167,527795-1,Allium cepa,Allium cepa,527795-1,Species,Useful Plants Data::LITTOX:::CPCS:::TPPT:CliniTox:,
168,528796-1,Allium sativum,Allium sativum,528796-1,Species,Useful Plants Data::LITTOX:::CPCS:::TPPT:CliniTox:,
169,528823-1,Allium schoenoprasum,Allium schoenoprasum,528823-1,Species,Useful Plants Data::LITTOX::::::TPPT:CliniTox:,
170,529088-1,Allium ursinum,Allium ursinum,529088-1,Species,Useful Plants Data::LITTOX::::::TPPT:CliniTox:,
171,529095-1,Allium validum,Allium validum,529095-1,Species,Useful Plants Data::LITTOX::::::::,
172,529111-1,Allium vineale,Allium vineale,529111-1,Species,Useful Plants Data::LITTOX::::::::,
173,781945-1,Allophylus spicatus,Allophylus spicatus,781945-1,Species,Useful Plants Data::::::::::,
174,84195-1,Alocasia longiloba,Alocasia longiloba,84195-1,Species,Useful Plants Data::LITTOX::::::::,
175,60444565-2,Alocasia macrorrhizos,Alocasia macrorrhizos,60444565-2,Species,Useful Plants Data::LITTOX::::::::,
176,77177330-1,Alocasia portei,Alocasia portei,77177330-1,Species,Useful Plants Data::::::::::,
177,529279-1,Aloe broomii,Aloe broomii,529279-1,Species,Useful Plants Data::::::::::,
178,529285-1,Aloe buettneri,Aloe buettneri,529285-1,Species,Useful Plants Data::::::::::,
179,529312-1,Aloe castanea,Aloe castanea,529312-1,Species,Useful Plants Data::::::::::,
180,529315-1,Aloe chabaudii,Aloe chabaudii,529315-1,Species,Useful Plants Data::LITTOX::::::::,
181,529324-1,Aloe christianii,Aloe christianii,529324-1,Species,Useful Plants Data::LITTOX::::::::,
182,529354-1,Aloe cooperi,Aloe cooperi,529354-1,Species,Useful Plants Data::::::::::,
183,529449-1,Aloe ferox,Aloe ferox,529449-1,Species,Useful Plants Data::LITTOX:::::::CliniTox:,
184,529495-1,Aloe greatheadii,Aloe greatheadii,529495-1,Species,Useful Plants Data::::::::::,
185,529518-1,Aloe hereroensis,Aloe hereroensis,529518-1,Species,Useful Plants Data::::::::::,
186,529577-1,Aloe lateritia,Aloe lateritia,529577-1,Species,Useful Plants Data::::::::::,
187,529606-1,Aloe littoralis,Aloe littoralis,529606-1,Species,Useful Plants Data::::::::::,
188,529767-1,Aloe perryi,Aloe perryi,529767-1,Species,Useful Plants Data::LITTOX::::::::,
189,529820-1,Aloe rabaiensis,Aloe rabaiensis,529820-1,Species,Useful Plants Data::LITTOX::::::::,
190,529861-1,Aloe ruspoliana,Aloe ruspoliana,529861-1,Species,Useful Plants Data::LITTOX::::::::,
191,529882-1,Aloe secundiflora,Aloe secundiflora,529882-1,Species,Useful Plants Data::LITTOX::::::::,
192,529992-1,Aloe turkanensis,Aloe turkanensis,529992-1,Species,Useful Plants Data::LITTOX::::::::,
193,530017-1,Aloe vera,Aloe vera,530017-1,Species,Useful Plants Data::LITTOX:hu_wiki::CPCS::USDA(Duke)::CliniTox:,
194,530037-1,Aloe volkensii,Aloe volkensii,530037-1,Species,Useful Plants Data::::::::::,
195,530052-1,Aloe zebrina,Aloe zebrina,530052-1,Species,Useful Plants Data::::::::::,
196,9643-2,Aloysia gratissima,Aloysia gratissima,9643-2,Species,Useful Plants Data::LITTOX::::::::,
197,716620-1,Alphitonia excelsa,Alphitonia excelsa,716620-1,Species,Useful Plants Data::::::::::,
198,716623-1,Alphitonia incana,Alphitonia incana,716623-1,Species,Useful Plants Data::::::::::,
199,71989-1,Alphonsea javanica,Alphonsea javanica,71989-1,Species,Useful Plants Data::::::::::,
200,72017-1,Alphonsea ventricosa,Alphonsea ventricosa,72017-1,Species,Useful Plants Data::::::::::,
201,795246-1,Alpinia conchigera,Alpinia conchigera,795246-1,Species,Useful Plants Data::::::::::,
202,105697-3,Alstonia actinophylla,Alstonia actinophylla,105697-3,Species,Useful Plants Data::LITTOX::::::::,
203,76511-1,Alstonia boonei,Alstonia boonei,76511-1,Species,Useful Plants Data::LITTOX::::::::,
204,76517-1,Alstonia congensis,Alstonia congensis,76517-1,Species,Useful Plants Data::LITTOX::::::::,
205,76518-1,Alstonia constricta,Alstonia constricta,76518-1,Species,Useful Plants Data::LITTOX::::::::,
206,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,Useful Plants Data::LITTOX::::::::,
207,76597-1,Alstonia spectabilis,Alstonia spectabilis,76597-1,Species,Useful Plants Data::LITTOX::::::::,
208,76628-1,Alyxia buxifolia,Alyxia buxifolia,76628-1,Species,Useful Plants Data::::::::::,
209,76782-1,Alyxia ruscifolia,Alyxia ruscifolia,76782-1,Species,Useful Plants Data::::::::::,
210,10665-2,Amaranthus hypochondriacus,Amaranthus hypochondriacus,10665-2,Species,Useful Plants Data::LITTOX::::::::,
211,59567-1,Amaranthus macrocarpus,Amaranthus macrocarpus,59567-1,Species,Useful Plants Data::LITTOX::::::::,
212,327376-2,Amaranthus palmeri,Amaranthus palmeri,327376-2,Species,Useful Plants Data::LITTOX::::::::,
213,319617-2,Amaranthus powellii,Amaranthus powellii,319617-2,Species,Useful Plants Data::LITTOX::::::::,
214,10698-2,Amaranthus retroflexus,Amaranthus retroflexus,10698-2,Species,Useful Plants Data::LITTOX::::::::,
215,10711-2,Amaranthus spinosus,Amaranthus spinosus,10711-2,Species,Useful Plants Data::LITTOX::::::::,
216,327386-2,Amaranthus tricolor,Amaranthus tricolor,327386-2,Species,Useful Plants Data::LITTOX::::::::,
217,62705-1,Amaryllis belladonna,Amaryllis belladonna,62705-1,Species,Useful Plants Data::LITTOX:::CPCS:UCANR:::CliniTox:,
218,473591-1,Amblygonocarpus andongensis,Amblygonocarpus andongensis,473591-1,Species,Useful Plants Data::LITTOX::::::::,
219,176051-1,Ambrosia acanthicarpa,Ambrosia acanthicarpa,176051-1,Species,Useful Plants Data::LITTOX::::::::,
220,176058-1,Ambrosia artemisiifolia,Ambrosia artemisiifolia,176058-1,Species,Useful Plants Data::LITTOX:fr_wiki::CPCS:::TPPT::,
221,176137-1,Ambrosia tomentosa,Ambrosia tomentosa,176137-1,Species,Useful Plants Data::LITTOX::::::::,
222,315739-2,Ambrosia trifida,Ambrosia trifida,315739-2,Species,Useful Plants Data::LITTOX::::::::,
223,530074-1,Amianthium muscitoxicum,Amianthium muscitoxicum,530074-1,Species,Useful Plants Data::::::::::,
224,837486-1,Ammi majus,Ammi majus,837486-1,Species,Useful Plants Data::LITTOX:::CPCS:UCANR::TPPT::,
225,849956-1,Visnaga daucoides,Visnaga daucoides,849956-1,Species,Useful Plants Data::LITTOX::::::::,
226,60442918-2,Amorimia pubiflora,Amorimia pubiflora,60442918-2,Species,Useful Plants Data::LITTOX::::::::,
227,60442919-2,Amorimia rigida,Amorimia rigida,60442919-2,Species,Useful Plants Data::LITTOX::::::::,
228,11421-2,Amorpha fruticosa,Amorpha fruticosa,11421-2,Species,Useful Plants Data::::::::TPPT::,
229,84298-1,Amorphophallus aphyllus,Amorphophallus aphyllus,84298-1,Species,Useful Plants Data::::::::::,
230,84333-1,Amorphophallus dracontioides,Amorphophallus dracontioides,84333-1,Species,Useful Plants Data::::::::::,
231,60444138-2,Amorphophallus paeoniifolius,Amorphophallus paeoniifolius,60444138-2,Species,Useful Plants Data::LITTOX::::::::,
232,84426-1,Amorphophallus prainii,Amorphophallus prainii,84426-1,Species,Useful Plants Data::LITTOX::::::::,
233,67382-1,Ampelocissus multistriata,Ampelocissus multistriata,67382-1,Species,Useful Plants Data::::::::::,
234,473880-1,Amphimas pterocarpoides,Amphimas pterocarpoides,473880-1,Species,Useful Plants Data::::::::::,
235,11707-2,Amsinckia calycina,Amsinckia calycina,11707-2,Species,Useful Plants Data::LITTOX::::::::,
236,112029-3,Amsinckia lycopsoides,Amsinckia lycopsoides,112029-3,Species,Useful Plants Data::LITTOX::::::::,
237,163386-1,Anabasis aphylla,Anabasis aphylla,163386-1,Species,Useful Plants Data::LITTOX::::::::,
238,163391-1,Anabasis articulata,Anabasis articulata,163391-1,Species,Useful Plants Data::LITTOX::::::::,
239,163426-1,Anabasis haussknechtii,Anabasis haussknechtii,163426-1,Species,Useful Plants Data::::::::::,
240,163460-1,Anabasis salsa,Anabasis salsa,163460-1,Species,Useful Plants Data::::::::::,
241,163462-1,Anabasis setifera,Anabasis setifera,163462-1,Species,Useful Plants Data::::::::::,
242,319068-2,Anacardium occidentale,Anacardium occidentale,319068-2,Species,Useful Plants Data::LITTOX:::::USDA(Duke):::,
243,12268-2,Anadenanthera peregrina,Anadenanthera peregrina,12268-2,Species,Useful Plants Data::LITTOX::::::::,
