,kew_id,family,genus,species,infraspecies,taxon_name,authors,rank,taxonomic_status,accepted_kew_id,accepted_name,accepted_authors,parent_kew_id,parent_name,parent_authors,reviewed,publication,original_name_id,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
673148,990984-1,Loganiaceae,Mitrasacme,nidulifera,,Mitrasacme nidulifera,Dunlop,Species,Accepted,990984-1,Mitrasacme nidulifera,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 310 (1996),,Mitrasacme nidulifera,990984-1,Species,Mitrasacme nidulifera,990984-1
673151,546679-1,Loganiaceae,Mitrasacme,nudicaulis,,Mitrasacme nudicaulis,Reinw. ex Blume,Species,Accepted,546679-1,Mitrasacme nudicaulis,,25093-1,Mitrasacme,Labill.,In review,Bijdr. Fl. Ned. Ind.: 849 (1826),,Mitrasacme nudicaulis,546679-1,Species,Mitrasacme nudicaulis,546679-1
673152,990986-1,Loganiaceae,Mitrasacme,nudicaulis,citrina,Mitrasacme nudicaulis var. citrina,Dunlop,Variety,Accepted,990986-1,Mitrasacme nudicaulis var. citrina,,546679-1,Mitrasacme nudicaulis,Reinw. ex Blume,In review,Fl. Australia 28: 311 (1996),,Mitrasacme nudicaulis var. citrina,990986-1,Variety,Mitrasacme nudicaulis,546679-1
673153,77223896-1,Loganiaceae,Mitrasacme,nudicaulis,nudicaulis,Mitrasacme nudicaulis var. nudicaulis,,Variety,Accepted,77223896-1,Mitrasacme nudicaulis var. nudicaulis,,546679-1,Mitrasacme nudicaulis,Reinw. ex Blume,In review,,,Mitrasacme nudicaulis var. nudicaulis,77223896-1,Variety,Mitrasacme nudicaulis,546679-1
673154,546680-1,Loganiaceae,Mitrasacme,nummularia,,Mitrasacme nummularia,S.Moore,Species,Accepted,546680-1,Mitrasacme nummularia,,25093-1,Mitrasacme,Labill.,In review,"J. Linn. Soc., Bot. 45: 208 (1920)",,Mitrasacme nummularia,546680-1,Species,Mitrasacme nummularia,546680-1
673155,990977-1,Loganiaceae,Mitrasacme,oasena,,Mitrasacme oasena,Dunlop,Species,Accepted,990977-1,Mitrasacme oasena,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 308 (1996),,Mitrasacme oasena,990977-1,Species,Mitrasacme oasena,990977-1
673156,546681-1,Loganiaceae,Mitrasacme,paludosa,,Mitrasacme paludosa,R.Br.,Species,Accepted,546681-1,Mitrasacme paludosa,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme paludosa,546681-1,Species,Mitrasacme paludosa,546681-1
673163,990988-1,Loganiaceae,Mitrasacme,patens,,Mitrasacme patens,Dunlop,Species,Accepted,990988-1,Mitrasacme patens,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 311 (1996),,Mitrasacme patens,990988-1,Species,Mitrasacme patens,990988-1
673166,546686-1,Loganiaceae,Mitrasacme,phascoides,,Mitrasacme phascoides,R.Br.,Species,Accepted,546686-1,Mitrasacme phascoides,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 454 (1810),,Mitrasacme phascoides,546686-1,Species,Mitrasacme phascoides,546686-1
673171,546689-1,Loganiaceae,Mitrasacme,polymorpha,,Mitrasacme polymorpha,R.Br.,Species,Accepted,546689-1,Mitrasacme polymorpha,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 452 (1810),,Mitrasacme polymorpha,546689-1,Species,Mitrasacme polymorpha,546689-1
673176,546690-1,Loganiaceae,Mitrasacme,prolifera,,Mitrasacme prolifera,R.Br.,Species,Accepted,546690-1,Mitrasacme prolifera,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme prolifera,546690-1,Species,Mitrasacme prolifera,546690-1
673180,546693-1,Loganiaceae,Mitrasacme,pygmaea,,Mitrasacme pygmaea,R.Br.,Species,Accepted,546693-1,Mitrasacme pygmaea,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 453 (1810),,Mitrasacme pygmaea,546693-1,Species,Mitrasacme pygmaea,546693-1
673181,886551-1,Loganiaceae,Mitrasacme,pygmaea,confertifolia,Mitrasacme pygmaea var. confertifolia,Tirel,Variety,Accepted,886551-1,Mitrasacme pygmaea var. confertifolia,,546693-1,Mitrasacme pygmaea,R.Br.,In review,"Fl. Camb., Laos & Vietn. 13: 88 (1972)",,Mitrasacme pygmaea var. confertifolia,886551-1,Variety,Mitrasacme pygmaea,546693-1
673183,52183-3,Loganiaceae,Mitrasacme,pygmaea,pygmaea,Mitrasacme pygmaea var. pygmaea,,Variety,Accepted,52183-3,Mitrasacme pygmaea var. pygmaea,,546693-1,Mitrasacme pygmaea,R.Br.,In review,,,Mitrasacme pygmaea var. pygmaea,52183-3,Variety,Mitrasacme pygmaea,546693-1
673185,990983-1,Loganiaceae,Mitrasacme,retroloba,,Mitrasacme retroloba,Dunlop,Species,Accepted,990983-1,Mitrasacme retroloba,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),,Mitrasacme retroloba,990983-1,Species,Mitrasacme retroloba,990983-1
673186,546695-1,Loganiaceae,Mitrasacme,saxatilis,,Mitrasacme saxatilis,Backer ex Cammerl.,Species,Accepted,546695-1,Mitrasacme saxatilis,,25093-1,Mitrasacme,Labill.,In review,"Bull. Jard. Bot. Buitenzorg, sér. 3, 5: 301 (1923)",,Mitrasacme saxatilis,546695-1,Species,Mitrasacme saxatilis,546695-1
673187,990985-1,Loganiaceae,Mitrasacme,scopata,,Mitrasacme scopata,Dunlop,Species,Accepted,990985-1,Mitrasacme scopata,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 310 (1996),,Mitrasacme scopata,990985-1,Species,Mitrasacme scopata,990985-1
673188,990982-1,Loganiaceae,Mitrasacme,scrithicola,,Mitrasacme scrithicola,Dunlop,Species,Accepted,990982-1,Mitrasacme scrithicola,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),,Mitrasacme scrithicola,990982-1,Species,Mitrasacme scrithicola,990982-1
673189,990998-1,Loganiaceae,Mitrasacme,secedens,,Mitrasacme secedens,Dunlop,Species,Accepted,990998-1,Mitrasacme secedens,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 313 (1996),,Mitrasacme secedens,990998-1,Species,Mitrasacme secedens,990998-1
673191,546697-1,Loganiaceae,Mitrasacme,setosa,,Mitrasacme setosa,Hance,Species,Accepted,546697-1,Mitrasacme setosa,,25093-1,Mitrasacme,Labill.,In review,J. Bot. 15: 335 (1877),,Mitrasacme setosa,546697-1,Species,Mitrasacme setosa,546697-1
673194,990980-1,Loganiaceae,Mitrasacme,squamigera,,Mitrasacme squamigera,Dunlop,Species,Accepted,990980-1,Mitrasacme squamigera,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),50427-3,Mitrasacme squamigera,990980-1,Species,Mitrasacme squamigera,990980-1
673196,546701-1,Loganiaceae,Mitrasacme,stellata,,Mitrasacme stellata,R.Br.,Species,Accepted,546701-1,Mitrasacme stellata,,25093-1,Mitrasacme,Labill.,In review,Prodr. Fl. Nov. Holland.: 454 (1810),,Mitrasacme stellata,546701-1,Species,Mitrasacme stellata,546701-1
673198,546702-1,Loganiaceae,Mitrasacme,subvolubilis,,Mitrasacme subvolubilis,F.Muell.,Species,Accepted,546702-1,Mitrasacme subvolubilis,,25093-1,Mitrasacme,Labill.,In review,Fragm. 1: 133 (1859),,Mitrasacme subvolubilis,546702-1,Species,Mitrasacme subvolubilis,546702-1
673200,77153352-1,Loganiaceae,Mitrasacme,thedae,,Mitrasacme thedae,M.D.Barrett & R.L.Barrett,Species,Accepted,77153352-1,Mitrasacme thedae,,25093-1,Mitrasacme,Labill.,In review,Nuytsia 26: 65 (2015),,Mitrasacme thedae,77153352-1,Species,Mitrasacme thedae,77153352-1
673202,990979-1,Loganiaceae,Mitrasacme,troglodytica,,Mitrasacme troglodytica,Dunlop,Species,Accepted,990979-1,Mitrasacme troglodytica,,25093-1,Mitrasacme,Labill.,In review,Fl. Australia 28: 309 (1996),,Mitrasacme troglodytica,990979-1,Species,Mitrasacme troglodytica,990979-1
673210,985690-1,Loganiaceae,Mitreola,macrophylla,,Mitreola macrophylla,D.Fang & D.H.Qin,Species,Accepted,985690-1,Mitreola macrophylla,,30046707-2,Mitreola,L.,In review,J. Trop. Subtrop. Bot. 3(3): 31 (1995),,Mitreola macrophylla,985690-1,Species,Mitreola macrophylla,985690-1
673216,546719-1,Loganiaceae,Mitreola,pedicellata,,Mitreola pedicellata,Benth.,Species,Accepted,546719-1,Mitreola pedicellata,,30046707-2,Mitreola,L.,In review,"J. Proc. Linn. Soc., Bot. 1: 91 (1856)",,Mitreola pedicellata,546719-1,Species,Mitreola pedicellata,546719-1
673218,546721-1,Loganiaceae,Mitreola,petiolata,,Mitreola petiolata,(J.F.Gmel.) Torr. & A.Gray,Species,Accepted,546721-1,Mitreola petiolata,,30046707-2,Mitreola,L.,In review,Fl. N. Amer. 2: 45 (1841),546039-1,Mitreola petiolata,546721-1,Species,Mitreola petiolata,546721-1
673219,546722-1,Loganiaceae,Mitreola,petiolatoides,,Mitreola petiolatoides,P.T.Li,Species,Accepted,546722-1,Mitreola petiolatoides,,30046707-2,Mitreola,L.,In review,Acta Phytotax. Sin. 17(3): 116 (1979),,Mitreola petiolatoides,546722-1,Species,Mitreola petiolatoides,546722-1
673220,985689-1,Loganiaceae,Mitreola,pingtaoi,,Mitreola pingtaoi,D.Fang & D.H.Qin,Species,Accepted,985689-1,Mitreola pingtaoi,,30046707-2,Mitreola,L.,In review,J. Trop. Subtrop. Bot. 3(3): 30 (1995),,Mitreola pingtaoi,985689-1,Species,Mitreola pingtaoi,985689-1
673221,985692-1,Loganiaceae,Mitreola,purpureonervia,,Mitreola purpureonervia,D.Fang & X.H.Lu,Species,Accepted,985692-1,Mitreola purpureonervia,,30046707-2,Mitreola,L.,In review,J. Trop. Subtrop. Bot. 3(3): 35 (1995),,Mitreola purpureonervia,985692-1,Species,Mitreola purpureonervia,985692-1
673222,546723-1,Loganiaceae,Mitreola,reticulata,,Mitreola reticulata,Tirel,Species,Accepted,546723-1,Mitreola reticulata,,30046707-2,Mitreola,L.,In review,"Adansonia, n.s., 9: 119 (1969)",,Mitreola reticulata,546723-1,Species,Mitreola reticulata,546723-1
673225,985691-1,Loganiaceae,Mitreola,spathulifolia,,Mitreola spathulifolia,D.Fang & L.S.Zhou,Species,Accepted,985691-1,Mitreola spathulifolia,,30046707-2,Mitreola,L.,In review,J. Trop. Subtrop. Bot. 3(3): 33 (1995),,Mitreola spathulifolia,985691-1,Species,Mitreola spathulifolia,985691-1
673226,546726-1,Loganiaceae,Mitreola,sphaerocarpa,,Mitreola sphaerocarpa,(Leenh.) Leenh. ex Leeuwenb.,Species,Accepted,546726-1,Mitreola sphaerocarpa,,30046707-2,Mitreola,L.,In review,Meded. Landbouwhoogeschool 74(23): 25 (1974),546041-1,Mitreola sphaerocarpa,546726-1,Species,Mitreola sphaerocarpa,546726-1
673229,546729-1,Loganiaceae,Mitreola,turgida,,Mitreola turgida,Ast,Species,Accepted,546729-1,Mitreola turgida,,30046707-2,Mitreola,L.,In review,"Bull. Mus. Natl. Hist. Nat., sér. 2, 6: 296 (1934)",,Mitreola turgida,546729-1,Species,Mitreola turgida,546729-1
673230,77105825-1,Loganiaceae,Mitreola,yangchunensis,,Mitreola yangchunensis,"Q.X.Ma, H.G.Ye & F.W.Xing",Species,Accepted,77105825-1,Mitreola yangchunensis,,30046707-2,Mitreola,L.,In review,Pakistan J. Bot. 42: 685 (2010),,Mitreola yangchunensis,77105825-1,Species,Mitreola yangchunensis,77105825-1
673242,546785-1,Loganiaceae,Neuburgia,celebica,,Neuburgia celebica,(Koord.) Leenh.,Species,Accepted,546785-1,Neuburgia celebica,,2456-1,Neuburgia,Blume,In review,Fl. Males. 6: 367 (1963),546012-1,Neuburgia celebica,546785-1,Species,Neuburgia celebica,546785-1
673244,546787-1,Loganiaceae,Neuburgia,corynocarpa,,Neuburgia corynocarpa,(A.Gray) Leenh.,Species,Accepted,546787-1,Neuburgia corynocarpa,,2456-1,Neuburgia,Blume,In review,Fl. Males. 6: 365 (1963),546014-1,Neuburgia corynocarpa,546787-1,Species,Neuburgia corynocarpa,546787-1
673245,77224650-1,Loganiaceae,Neuburgia,corynocarpa,corynocarpa,Neuburgia corynocarpa var. corynocarpa,,Variety,Accepted,77224650-1,Neuburgia corynocarpa var. corynocarpa,,546787-1,Neuburgia corynocarpa,(A.Gray) Leenh.,In review,,,Neuburgia corynocarpa var. corynocarpa,77224650-1,Variety,Neuburgia corynocarpa,546787-1
673246,886552-1,Loganiaceae,Neuburgia,corynocarpa,sarcantha,Neuburgia corynocarpa var. sarcantha,(Gilg & Gilg-Ben.) B.J.Conn,Variety,Accepted,886552-1,Neuburgia corynocarpa var. sarcantha,,546787-1,Neuburgia corynocarpa,(A.Gray) Leenh.,In review,Brunonia 2: 104 (1979),546028-1,Neuburgia corynocarpa var. sarcantha,886552-1,Variety,Neuburgia corynocarpa,546787-1
673247,546788-1,Loganiaceae,Neuburgia,kochii,,Neuburgia kochii,(Valeton) Leenh.,Species,Accepted,546788-1,Neuburgia kochii,,2456-1,Neuburgia,Blume,In review,Fl. Males. 6: 366 (1963),546016-1,Neuburgia kochii,546788-1,Species,Neuburgia kochii,546788-1
673250,546791-1,Loganiaceae,Neuburgia,moluccana,,Neuburgia moluccana,(Scheff. ex Boerl.) Leenh.,Species,Accepted,546791-1,Neuburgia moluccana,,2456-1,Neuburgia,Blume,In review,Fl. Males. 6: 367 (1963),546035-1,Neuburgia moluccana,546791-1,Species,Neuburgia moluccana,546791-1
673252,77061619-1,Loganiaceae,Neuburgia,novocaledonica,,Neuburgia novocaledonica,(Gilg & Gilg-Ben.) J.E.Molina & Struwe,Species,Accepted,77061619-1,Neuburgia novocaledonica,,2456-1,Neuburgia,Blume,In review,Austral. Syst. Bot. 17: 399 (2004),546023-1,Neuburgia novocaledonica,77061619-1,Species,Neuburgia novocaledonica,77061619-1
673254,546793-1,Loganiaceae,Neuburgia,rumphiana,,Neuburgia rumphiana,Leenh.,Species,Accepted,546793-1,Neuburgia rumphiana,,2456-1,Neuburgia,Blume,In review,Bull. Jard. Bot. État Bruxelles 32: 457 (1962),,Neuburgia rumphiana,546793-1,Species,Neuburgia rumphiana,546793-1
673257,80480-1,Loganiaceae,Neuburgia,tuberculata,,Neuburgia tuberculata,Blume,Species,Accepted,80480-1,Neuburgia tuberculata,,2456-1,Neuburgia,Blume,In review,Mus. Bot. 1: 157 (1850),,Neuburgia tuberculata,80480-1,Species,Neuburgia tuberculata,80480-1
673258,80481-1,Loganiaceae,Neuburgia,tubiflora,,Neuburgia tubiflora,Blume,Species,Accepted,80481-1,Neuburgia tubiflora,,2456-1,Neuburgia,Blume,In review,Mus. Bot. 1: 156 (1850),,Neuburgia tubiflora,80481-1,Species,Neuburgia tubiflora,80481-1
673260,60466948-2,Loganiaceae,Norrisia,major,,Norrisia major,Soler.,Species,Accepted,60466948-2,Norrisia major,,25105-1,Norrisia,Gardner,In review,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam. 4(2): 37 (1892)",,Norrisia major,60466948-2,Species,Norrisia major,60466948-2
673261,546804-1,Loganiaceae,Norrisia,malaccensis,,Norrisia malaccensis,Gardner,Species,Accepted,546804-1,Norrisia malaccensis,,25105-1,Norrisia,Gardner,In review,Hooker's J. Bot. Kew Gard. Misc. 1: 327 (1849),,Norrisia malaccensis,546804-1,Species,Norrisia malaccensis,546804-1
673265,77154367-1,Loganiaceae,Orianthera,biloba,,Orianthera biloba,(B.J.Conn) C.S.P.Foster & B.J.Conn,Species,Accepted,77154367-1,Orianthera biloba,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 152 (2014),976792-1,Orianthera biloba,77154367-1,Species,Orianthera biloba,77154367-1
673266,77154368-1,Loganiaceae,Orianthera,callosa,,Orianthera callosa,(F.Muell.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154368-1,Orianthera callosa,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 153 (2014),546590-1,Orianthera callosa,77154368-1,Species,Orianthera callosa,77154368-1
673267,77154366-1,Loganiaceae,Orianthera,campanulata,,Orianthera campanulata,(R.Br.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154366-1,Orianthera campanulata,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 152 (2014),546591-1,Orianthera campanulata,77154366-1,Species,Orianthera campanulata,77154366-1
673268,77154369-1,Loganiaceae,Orianthera,centralis,,Orianthera centralis,(B.J.Conn) C.S.P.Foster & B.J.Conn,Species,Accepted,77154369-1,Orianthera centralis,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 153 (2014),976794-1,Orianthera centralis,77154369-1,Species,Orianthera centralis,77154369-1
673269,77154370-1,Loganiaceae,Orianthera,exilis,,Orianthera exilis,(B.J.Conn) C.S.P.Foster & B.J.Conn,Species,Accepted,77154370-1,Orianthera exilis,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 153 (2014),976796-1,Orianthera exilis,77154370-1,Species,Orianthera exilis,77154370-1
673270,77154371-1,Loganiaceae,Orianthera,flaviflora,,Orianthera flaviflora,(F.Muell.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154371-1,Orianthera flaviflora,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 154 (2014),546603-1,Orianthera flaviflora,77154371-1,Species,Orianthera flaviflora,77154371-1
673271,77154372-1,Loganiaceae,Orianthera,judithiana,,Orianthera judithiana,(B.J.Conn) C.S.P.Foster & B.J.Conn,Species,Accepted,77154372-1,Orianthera judithiana,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 154 (2014),976795-1,Orianthera judithiana,77154372-1,Species,Orianthera judithiana,77154372-1
673272,77154373-1,Loganiaceae,Orianthera,nuda,,Orianthera nuda,(F.Muell.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154373-1,Orianthera nuda,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 154 (2014),546615-1,Orianthera nuda,77154373-1,Species,Orianthera nuda,77154373-1
673273,77154374-1,Loganiaceae,Orianthera,pusilla,,Orianthera pusilla,(R.Br.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154374-1,Orianthera pusilla,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 154 (2014),546619-1,Orianthera pusilla,77154374-1,Species,Orianthera pusilla,77154374-1
673274,77154375-1,Loganiaceae,Orianthera,serpyllifolia,,Orianthera serpyllifolia,(R.Br.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154375-1,Orianthera serpyllifolia,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 154 (2014),546622-1,Orianthera serpyllifolia,77154375-1,Species,Orianthera serpyllifolia,77154375-1
673275,77154376-1,Loganiaceae,Orianthera,serpyllifolia,angustifolia,Orianthera serpyllifolia subsp. angustifolia,(B.J.Conn) C.S.P.Foster & B.J.Conn,Subspecies,Accepted,77154376-1,Orianthera serpyllifolia subsp. angustifolia,,77154375-1,Orianthera serpyllifolia,(R.Br.) C.S.P.Foster & B.J.Conn,In review,Telopea 16: 155 (2014),976793-1,Orianthera serpyllifolia subsp. angustifolia,77154376-1,Subspecies,Orianthera serpyllifolia,77154375-1
673276,77232697-1,Loganiaceae,Orianthera,serpyllifolia,serpyllifolia,Orianthera serpyllifolia subsp. serpyllifolia,,Subspecies,Accepted,77232697-1,Orianthera serpyllifolia subsp. serpyllifolia,,77154375-1,Orianthera serpyllifolia,(R.Br.) C.S.P.Foster & B.J.Conn,In review,,,Orianthera serpyllifolia subsp. serpyllifolia,77232697-1,Subspecies,Orianthera serpyllifolia,77154375-1
673277,77154377-1,Loganiaceae,Orianthera,spermacocea,,Orianthera spermacocea,(F.Muell.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154377-1,Orianthera spermacocea,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 155 (2014),546623-1,Orianthera spermacocea,77154377-1,Species,Orianthera spermacocea,77154377-1
673278,77154378-1,Loganiaceae,Orianthera,tortuosa,,Orianthera tortuosa,(D.A.Herb.) C.S.P.Foster & B.J.Conn,Species,Accepted,77154378-1,Orianthera tortuosa,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 155 (2014),546626-1,Orianthera tortuosa,77154378-1,Species,Orianthera tortuosa,77154378-1
673279,77154379-1,Loganiaceae,Orianthera,wendyae,,Orianthera wendyae,(Cranfield & Keighery) C.S.P.Foster & B.J.Conn,Species,Accepted,77154379-1,Orianthera wendyae,,77154365-1,Orianthera,C.S.P.Foster & B.J.Conn,In review,Telopea 16: 155 (2014),77079921-1,Orianthera wendyae,77154379-1,Species,Orianthera wendyae,77154379-1
673283,991007-1,Loganiaceae,Phyllangium,divergens,,Phyllangium divergens,(Hook.f.) Dunlop,Species,Accepted,991007-1,Phyllangium divergens,,991003-1,Phyllangium,Dunlop,In review,Fl. Australia 28: 315 (1996),546652-1,Phyllangium divergens,991007-1,Species,Phyllangium divergens,991007-1
673284,991008-1,Loganiaceae,Phyllangium,palustre,,Phyllangium palustre,(W.Fitzg.) Dunlop,Species,Accepted,991008-1,Phyllangium palustre,,991003-1,Phyllangium,Dunlop,In review,Fl. Australia 28: 315 (1996),546682-1,Phyllangium palustre,991008-1,Species,Phyllangium palustre,991008-1
673285,991004-1,Loganiaceae,Phyllangium,paradoxum,,Phyllangium paradoxum,(R.Br.) Dunlop,Species,Accepted,991004-1,Phyllangium paradoxum,,991003-1,Phyllangium,Dunlop,In review,Fl. Australia 28: 315 (1996),546683-1,Phyllangium paradoxum,991004-1,Species,Phyllangium paradoxum,991004-1
673286,991006-1,Loganiaceae,Phyllangium,sulcatum,,Phyllangium sulcatum,Dunlop,Species,Accepted,991006-1,Phyllangium sulcatum,,991003-1,Phyllangium,Dunlop,In review,Fl. Australia 28: 315 (1996),,Phyllangium sulcatum,991006-1,Species,Phyllangium sulcatum,991006-1
673313,242169-2,Loganiaceae,Spigelia,aceifolia,,Spigelia aceifolia,Woodson,Species,Accepted,242169-2,Spigelia aceifolia,,60434592-2,Spigelia,L.,In review,Ann. Missouri Bot. Gard. 37: 404 (1950),,Spigelia aceifolia,242169-2,Species,Spigelia aceifolia,242169-2
673314,546907-1,Loganiaceae,Spigelia,aenea,,Spigelia aenea,Lem.,Species,Accepted,546907-1,Spigelia aenea,,60434592-2,Spigelia,L.,In review,Ill. Hort. 4(Misc.): 52 (1857),,Spigelia aenea,546907-1,Species,Spigelia aenea,546907-1
673316,77197934-1,Loganiaceae,Spigelia,alborubra,,Spigelia alborubra,A.R.Macedo & E.M.Pessoa,Species,Accepted,77197934-1,Spigelia alborubra,,60434592-2,Spigelia,L.,In review,Phytotaxa 404: 148 (2019),,Spigelia alborubra,77197934-1,Species,Spigelia alborubra,77197934-1
673317,77062626-1,Loganiaceae,Spigelia,amambaiensis,,Spigelia amambaiensis,Fern.Casas,Species,Accepted,77062626-1,Spigelia amambaiensis,,60434592-2,Spigelia,L.,In review,Fontqueria 55: 203 (2004),,Spigelia amambaiensis,77062626-1,Species,Spigelia amambaiensis,77062626-1
673318,60434593-2,Loganiaceae,Spigelia,amazonica,,Spigelia amazonica,Fern.Casas,Species,Accepted,60434593-2,Spigelia amazonica,,60434592-2,Spigelia,L.,In review,Fontqueria 55: 163 (2004),,Spigelia amazonica,60434593-2,Species,Spigelia amazonica,60434593-2
673320,242170-2,Loganiaceae,Spigelia,amplexicaulis,,Spigelia amplexicaulis,E.F.Guim. & Fontella,Species,Accepted,242170-2,Spigelia amplexicaulis,,60434592-2,Spigelia,L.,In review,Loefgrenia 30: 5 (1969),,Spigelia amplexicaulis,242170-2,Species,Spigelia amplexicaulis,242170-2
673321,324568-2,Loganiaceae,Spigelia,andersonii,,Spigelia andersonii,Fern.Casas,Species,Accepted,324568-2,Spigelia andersonii,,60434592-2,Spigelia,L.,In review,Fontqueria 55: 51 (2002),,Spigelia andersonii,324568-2,Species,Spigelia andersonii,324568-2
673322,330744-2,Loganiaceae,Spigelia,andina,,Spigelia andina,Fern.Casas,Species,Accepted,330744-2,Spigelia andina,,60434592-2,Spigelia,L.,In review,Fontqueria 55: 133 (2004),,Spigelia andina,330744-2,Species,Spigelia andina,330744-2
673323,318920-2,Loganiaceae,Spigelia,anthelmia,,Spigelia anthelmia,L.,Species,Accepted,318920-2,Spigelia anthelmia,,60434592-2,Spigelia,L.,In review,Sp. Pl.: 149 (1753),,Spigelia anthelmia,318920-2,Species,Spigelia anthelmia,318920-2
673328,546913-1,Loganiaceae,Spigelia,asperifolia,,Spigelia asperifolia,Progel,Species,Accepted,546913-1,Spigelia asperifolia,,60434592-2,Spigelia,L.,In review,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 6(1): 260 (1868)",,Spigelia asperifolia,546913-1,Species,Spigelia asperifolia,546913-1
673330,77174912-1,Loganiaceae,Spigelia,ayotzinapensis,,Spigelia ayotzinapensis,"L.O.Alvarado, Islas-Hern. & Bustam.",Species,Accepted,77174912-1,Spigelia ayotzinapensis,,60434592-2,Spigelia,L.,In review,Phytotaxa 331: 244 (2017),,Spigelia ayotzinapensis,77174912-1,Species,Spigelia ayotzinapensis,77174912-1
673332,242177-2,Loganiaceae,Spigelia,beccabungoides,,Spigelia beccabungoides,Kraenzl.,Species,Accepted,242177-2,Spigelia beccabungoides,,60434592-2,Spigelia,L.,In review,Bot. Jahrb. Syst. 40: 307 (1908),,Spigelia beccabungoides,242177-2,Species,Spigelia beccabungoides,242177-2
673333,546917-1,Loganiaceae,Spigelia,beyrichiana,,Spigelia beyrichiana,Cham. & Schltdl.,Species,Accepted,546917-1,Spigelia beyrichiana,,60434592-2,Spigelia,L.,In review,Linnaea 1: 203 (1826),,Spigelia beyrichiana,546917-1,Species,Spigelia beyrichiana,546917-1
673336,546919-1,Loganiaceae,Spigelia,blanchetiana,,Spigelia blanchetiana,A.DC.,Species,Accepted,546919-1,Spigelia blanchetiana,,60434592-2,Spigelia,L.,In review,"A.P.de Candolle, Prodr. 9: 4 (1845)",,Spigelia blanchetiana,546919-1,Species,Spigelia blanchetiana,546919-1
673338,546920-1,Loganiaceae,Spigelia,brachystachya,,Spigelia brachystachya,Progel,Species,Accepted,546920-1,Spigelia brachystachya,,60434592-2,Spigelia,L.,In review,"C.F.P.von Martius & auct. suc. (eds.), Fl. Bras. 6(1): 261 (1868)",,Spigelia brachystachya,546920-1,Species,Spigelia brachystachya,546920-1
673340,242182-2,Loganiaceae,Spigelia,caaguazuensis,,Spigelia caaguazuensis,Kraenzl.,Species,Accepted,242182-2,Spigelia caaguazuensis,,60434592-2,Spigelia,L.,In review,Repert. Spec. Nov. Regni Veg. 14: 293 (1916),,Spigelia caaguazuensis,242182-2,Species,Spigelia caaguazuensis,242182-2
673341,242183-2,Loganiaceae,Spigelia,carnosa,,Spigelia carnosa,Standl. & Steyerm.,Species,Accepted,242183-2,Spigelia carnosa,,60434592-2,Spigelia,L.,In review,"Publ. Field Mus. Nat. Hist., Bot. Ser. 23: 72 (1944)",,Spigelia carnosa,242183-2,Species,Spigelia carnosa,242183-2
